atp,lam,kin,kdam1,kdam2,bs
500.0,0.0033877551020408164,0.004081632653061225,0.4319550797601395,0.14286866623569902,bp
500.0,0.004183673469387755,0.004081632653061225,0.18797923704881406,0.10065432163877147,bp
500.0,0.004183673469387755,0.00816326530612245,0.7248461212981591,0.2059287852928955,bp
500.0,0.004979591836734694,0.004081632653061225,0.09633194070841801,0.07357883380899356,bp
500.0,0.004979591836734694,0.00816326530612245,0.3636232020637574,0.15542450962273388,bp
500.0,0.004979591836734694,0.012244897959183673,0.7987445503717064,0.23439784411788714,bp
500.0,0.005775510204081633,0.004081632653061225,0.056618208085404756,0.054337681523607705,bp
500.0,0.005775510204081633,0.00816326530612245,0.20342157489542761,0.12075901870261409,bp
500.0,0.005775510204081633,0.012244897959183673,0.44403430860655196,0.18459323372590436,bp
500.0,0.005775510204081633,0.0163265306122449,0.7740475228601137,0.2466185027951719,bp
500.0,0.006571428571428572,0.00816326530612245,0.12421092829917228,0.09542589410473727,bp
500.0,0.006571428571428572,0.012244897959183673,0.26743888583658804,0.14851818467596772,bp
500.0,0.006571428571428572,0.0163265306122449,0.4645402274443409,0.20012564653507356,bp
500.0,0.006571428571428572,0.02040816326530612,0.7134579155136098,0.25047343066392985,bp
500.0,0.00736734693877551,0.00816326530612245,0.08201132127072243,0.07582891204122548,bp
500.0,0.00736734693877551,0.012244897959183673,0.1720316404502409,0.12115516272707474,bp
500.0,0.00736734693877551,0.0163265306122449,0.2966016735173914,0.16502910202334453,bp
500.0,0.00736734693877551,0.02040816326530612,0.45430423210096343,0.20785824979284737,bp
500.0,0.00736734693877551,0.024489795918367346,0.6440280995697115,0.24976252906363047,bp
500.0,0.00736734693877551,0.02857142857142857,0.8647550047505007,0.29080807839500017,bp
500.0,0.00816326530612245,0.012244897959183673,0.11727245991346723,0.09953595842089044,bp
500.0,0.00816326530612245,0.0163265306122449,0.19951863725000923,0.13756535609596945,bp
500.0,0.00816326530612245,0.02040816326530612,0.3039964784868751,0.17462404349532765,bp
500.0,0.00816326530612245,0.024489795918367346,0.4299358680829058,0.2108986332539307,bp
500.0,0.00816326530612245,0.02857142857142857,0.5766886294433144,0.2464669518416953,bp
500.0,0.00816326530612245,0.0326530612244898,0.7436573054507071,0.28137642243606914,bp
500.0,0.00816326530612245,0.036734693877551024,0.9302785751801255,0.3156623368787559,bp
500.0,0.008959183673469387,0.012244897959183673,0.08459939553998333,0.08167927417057579,bp
500.0,0.008959183673469387,0.0163265306122449,0.14060453037323956,0.1153695875272485,bp
500.0,0.008959183673469387,0.02040816326530612,0.2123147046741168,0.14793964833771872,bp
500.0,0.008959183673469387,0.024489795918367346,0.2989865661273166,0.17978193488500616,bp
500.0,0.008959183673469387,0.02857142857142857,0.40015244389830973,0.21101140695867346,bp
500.0,0.008959183673469387,0.0326530612244898,0.5154109816282639,0.2416844225047008,bp
500.0,0.008959183673469387,0.036734693877551024,0.6443919663699991,0.27183705392381885,bp
500.0,0.008959183673469387,0.04081632653061224,0.7867460341748328,0.30149633400599524,bp
500.0,0.008959183673469387,0.044897959183673466,0.9421405294313283,0.33068449589119653,bp
500.0,0.009755102040816326,0.0163265306122449,0.10361565353451718,0.09681857091195016,bp
500.0,0.009755102040816326,0.02040816326530612,0.15414585108483078,0.1259334196127161,bp
500.0,0.009755102040816326,0.024489795918367346,0.21555146752353452,0.15425430105162838,bp
500.0,0.009755102040816326,0.02857142857142857,0.28739282566463975,0.18199885911008146,bp
500.0,0.009755102040816326,0.0326530612244898,0.3693659005661096,0.20924927149624714,bp
500.0,0.009755102040816326,0.036734693877551024,0.46120921712091784,0.2360495327685718,bp
500.0,0.009755102040816326,0.04081632653061224,0.5626823795625517,0.2624285574382546,bp
