atp,lam,kin,kdam1,kdam2,bs
500.0,0.001,0.0020408163265306124,0.015117676832876712,0.01252087559939697,bp
500.0,0.001,0.004081632653061225,0.055154249923104096,0.026201845006825503,bp
500.0,0.001,0.006122448979591836,0.11842631383176294,0.0388917797564513,bp
500.0,0.001,0.00816326530612245,0.20252672719149092,0.050780067223843296,bp
500.0,0.001,0.01020408163265306,0.3054589296635209,0.061978682880569666,bp
500.0,0.001,0.012244897959183673,0.4255254869769691,0.07257484565054786,bp
500.0,0.001,0.014285714285714285,0.5612678337548169,0.08263975335507244,bp
500.0,0.001,0.0163265306122449,0.7114217664889083,0.09223263104330545,bp
500.0,0.001,0.018367346938775512,0.8748831716229315,0.10140333837033375,bp
500.0,0.0017959183673469388,0.006122448979591836,0.013854991218206525,0.013800505237757336,bp
500.0,0.0017959183673469388,0.00816326530612245,0.022371085796408563,0.019548752249787613,bp
500.0,0.0017959183673469388,0.01020408163265306,0.033193005981358215,0.024927345982167937,bp
500.0,0.0017959183673469388,0.012244897959183673,0.04608430639614532,0.0300708738303329,bp
500.0,0.0017959183673469388,0.014285714285714285,0.06090996461038387,0.03501847867838678,bp
500.0,0.0017959183673469388,0.0163265306122449,0.07755875998419495,0.03979246756403357,bp
500.0,0.0017959183673469388,0.018367346938775512,0.09593247150204091,0.04440894289042314,bp
500.0,0.0017959183673469388,0.02040816326530612,0.11594236499964912,0.04888082618379825,bp
500.0,0.0017959183673469388,0.022448979591836733,0.1375074553574019,0.05321903987422375,bp
500.0,0.0017959183673469388,0.024489795918367346,0.16055339433510316,0.05743307911015923,bp
500.0,0.0017959183673469388,0.026530612244897958,0.18501164798155814,0.061531336481971184,bp
500.0,0.0017959183673469388,0.02857142857142857,0.21081883957293013,0.0655213102220941,bp
500.0,0.0017959183673469388,0.030612244897959183,0.2379162026395019,0.0694097502246608,bp
500.0,0.0017959183673469388,0.0326530612244898,0.26624911483379293,0.0732027672773796,bp
500.0,0.0017959183673469388,0.03469387755102041,0.2957666949789144,0.07690591858761146,bp
500.0,0.0017959183673469388,0.036734693877551024,0.3264214513658833,0.08052427694698362,bp
500.0,0.0017959183673469388,0.03877551020408163,0.35816897267019526,0.0840624879645286,bp
500.0,0.0017959183673469388,0.04081632653061224,0.3909676548565038,0.08792922649856587,bp
500.0,0.0017959183673469388,0.04285714285714286,0.42477845882209464,0.1251636180543505,bp
500.0,0.0017959183673469388,0.044897959183673466,0.45956469450133886,0.17589119280514975,bp
500.0,0.0017959183673469388,0.04693877551020408,0.4952918279020467,0.22871392028108753,bp
500.0,0.0017959183673469388,0.04897959183673469,0.5319273081142435,0.28281235409107525,bp
500.0,0.0017959183673469388,0.05102040816326531,0.5694404117919251,0.33675713863050044,bp
500.0,0.0017959183673469388,0.053061224489795916,0.6078021029811963,0.39204566104676375,bp
500.0,0.0017959183673469388,0.05510204081632653,0.6469849064740705,0.4468363430993732,bp
500.0,0.0017959183673469388,0.05714285714285714,0.6869627931167948,0.5027007832368173,bp
500.0,0.0017959183673469388,0.05918367346938776,0.7277110757241857,0.5579742903920178,bp
500.0,0.0017959183673469388,0.061224489795918366,0.7692063144181464,0.6134300352515374,bp
500.0,0.0017959183673469388,0.06326530612244897,0.8114262303703221,0.6690333460546335,bp
500.0,0.0017959183673469388,0.0653061224489796,0.8543496270534754,0.7240767405812389,bp
