t,log(OD),log(OD) error,gr,gr error,od
0.0,-1.798236591596897,0.017289149517778227,0.0002039313814747451,0.0007759691246934755,0.1786666666666666
5.0,-1.795278364071649,0.014525197346595724,0.0009778032773598705,0.0006848136021188659,0.1653333333333333
10.0,-1.7884783726809204,0.01235370367346436,0.0017397886331799728,0.0005999978987501489,0.1656666666666666
15.0,-1.7779087182322648,0.010756532855114647,0.002484833061169804,0.0005220409654517656,0.1706666666666666
20.0,-1.7636665408501244,0.009684550990279862,0.003207983173239004,0.0004514533217277334,0.1666666666666666
25.0,-1.745873396048637,0.009048298413351603,0.0039044340679436976,0.0003887457027298716,0.169
30.0,-1.7246743950784307,0.008728696177912436,0.004569576045819798,0.000334425774645752,0.174
35.0,-1.7002371147267574,0.008604383971381309,0.005199040024845572,0.0002889612798364789,0.175
40.0,-1.6727502843812978,0.008576084553665422,0.005788741133294636,0.0002526760264882862,0.184
45.0,-1.642422260753662,0.008575854310454508,0.006334919969018804,0.00022555500495539694,0.1926666666666666
50.0,-1.6094793031722503,0.008564306394451196,0.006834181032212536,0.00020700579462870302,0.1949999999999999
55.0,-1.5741636647600714,0.008523371558383674,0.007283527862827252,0.000195739074767441,0.2043333333333333
60.0,-1.5367315170847782,0.008449181042733164,0.007680394443832547,0.0001899329090909889,0.215
65.0,-1.4974507279761333,0.008346497659822524,0.008022672467201793,0.00018762882034869952,0.2276666666666666
70.0,-1.4565985141202162,0.008224679052317043,0.008308734100501123,0.00018711366329434348,0.2423333333333333
75.0,-1.4144589917380657,0.008094798145809488,0.008537449937887246,0.00018711300407077132,0.2496666666666666
80.0,-1.3713206501129207,0.007967590524077573,0.008708201869748612,0.00018680517235993544,0.264
85.0,-1.3274737739252451,0.007852031082940497,0.008820890659612987,0.00018574536709751825,0.27
90.0,-1.2832078412667798,0.007754452151454277,0.00887593807479016,0.00018376978032690503,0.2803333333333333
95.0,-1.2388089248240384,0.007678168557948293,0.008874283477877054,0.00018091057864904895,0.2873333333333333
100.0,-1.1945571240274155,0.007623569435724318,0.008817374849117848,0.0001773285729967595,0.3206666666666666
105.0,-1.150724055953802,0.007588591762595294,0.008707154273994627,0.0001732610607590101,0.3253333333333333
110.0,-1.1075704324340272,0.0075694410515556925,0.008546037995611516,0.00016898038422127066,0.34
115.0,-1.0653437501567211,0.007561401783811809,0.00833689119670826,0.00016475962888108254,0.34
120.0,-1.0242761195730665,0.007559596110970369,0.008082997740733469,0.00016084365546503054,0.3513333333333333
125.0,-0.9845822571023106,0.007559593904886032,0.007788025164553056,0.00015742556195650023,0.3643333333333333
130.0,-0.9464576635201958,0.007557829701884617,0.0074559852763034645,0.0001546301697142383,0.377
135.0,-0.9100770094997017,0.007551825273486672,0.007091190769825881,0.00015250662857868417,0.3899999999999999
140.0,-0.8755927470791356,0.007540243250727568,0.006698208321289492,0.00015103135215906735,0.3953333333333333
145.0,-0.8431339633775181,0.0075228088073372,0.00628180868325795,0.0001501204877036516,0.4056666666666667
150.0,-0.8128054901887936,0.007500138049021578,0.005846914335849385,0.00014964896774405183,0.436
155.0,-0.7846872801885922,0.00747350864242354,0.005398545293108417,0.00014947198535289344,0.4516666666666666
160.0,-0.758834057414262,0.007444603790416437,0.0049417636945642,0.00014944495625382015,0.4683333333333333
165.0,-0.7352752464644965,0.007415256436534462,0.004481617836625151,0.00014943931084589394,0.4826666666666666
170.0,-0.7140151815456051,0.007387216682029504,0.004023086315418478,0.00014935302168467746,0.5043333333333334
175.0,-0.6950335931085441,0.00736196123190013,0.0035710229614477063,0.00014911599967371697,0.5133333333333333
180.0,-0.6782863664135554,0.007340558572084325,0.00313010324666968,0.00014869116669683798,0.5133333333333333
185.0,-0.6637065629758396,0.007323597236769962,0.0027047728359941015,0.00014807222171800186,0.5243333333333333
190.0,-0.6512056925242824,0.007311177314243486,0.0022991989376117683,0.00014727906030548562,0.535
195.0,-0.6406752198969592,0.007302958195583943,0.0019172250799299184,0.00014635165902485449,0.5396666666666666
200.0,-0.6319882882429475,0.0072982497001661,0.0015623299072879127,0.00014534310117467422,0.5343333333333333
205.0,-0.6250016370473226,0.0072961301003627785,0.0012375905422473688,0.00014431233896441777,0.5343333333333333
210.0,-0.6195576908846476,0.0072955736646119545,0.000945651009453069,0.00014331725401702487,0.543
215.0,-0.6154867924811445,0.0072955719289309,0.000688696155291435,0.00014240856052612233,0.5423333333333333
220.0,-0.6126095516611194,0.007295236277265538,0.00046843142946878524,0.00014162505045325018,0.5423333333333334
225.0,-0.6107392801072553,0.007293873659775296,0.0002860688199391448,0.00014099057153992017,0.543
230.0,-0.6096844806058623,0.0072910315870426705,0.00014231915220619396,0.00014051294396777244,0.5413333333333333
235.0,-0.6092513586040145,0.007286512340617073,3.7390878924542514e-05,0.00014018478091823086,0.5436666666666666
240.0,-0.6092463234964818,0.007280359354429492,-2.900460292828977e-05,0.00013998593141749483,0.5463333333333333
245.0,-0.6094784471008197,0.007272820884533958,-5.764116105000383e-05,0.0001398870692830352,0.539
250.0,-0.6097618472771522,0.007264297440379628,-4.9759808726707044e-05,0.00013985385287576958,0.545
255.0,-0.609917965608032,0.007255280093412211,-7.044495058838862e-06,0.00013985108812182903,0.5456666666666666
260.0,-0.609777709466151,0.00724628678813889,6.840786826828316e-05,0.00013984642181445847,0.5396666666666666
265.0,-0.6091834306518802,0.007237803207531159,0.00017412272987260557,0.00013981323540977088,0.5373333333333333
270.0,-0.6079907150584649,0.0072302336648706325,0.00030728807558988436,0.0001397325625691755,0.5373333333333333
275.0,-0.6060699604928654,0.007223865981236761,0.0004647988881185394,0.00013959398898356377,0.5419999999999999
280.0,-0.6033077228108761,0.00721885251427836,0.0006433052499868475,0.00013939559776403136,0.5373333333333333
285.0,-0.5996078138732264,0.007215207609010039,0.0008392633911706582,0.0001391430968747745,0.549
290.0,-0.5948921384515065,0.00721281996613599,0.0010489889334732994,0.0001388483119867076,0.545
295.0,-0.58910126105134,0.007211476971022164,0.001268711545655235,0.00013852725511961347,0.5463333333333333
300.0,-0.5821946976212304,0.0072108970557302424,0.0014946301971685144,0.0001381979909517021,0.5543333333333333
305.0,-0.5741509312150619,0.0072107657460279565,0.0017229681849132983,0.00013787852018208076,0.5539999999999999
310.0,-0.5649671548104527,0.00721077116795025,0.0019500271071897224,0.00013758488209660388,0.5613333333333334
315.0,-0.5546587485870087,0.007210635360481026,0.002172238972245097,0.00013732964532703625,0.569
320.0,-0.5432585029695411,0.007210138633429805,0.002386215655559576,0.00013712090711291922,0.5783333333333333
325.0,-0.5308156025772548,0.007209135266305859,0.0025887949600486293,0.00013696186068219812,0.5933333333333334
330.0,-0.517394389820578,0.00720755993227962,0.0027770825862523663,0.00013685092445358445,0.608
335.0,-0.50307293019544,0.007205425233198125,0.0029484893846014465,0.00013678236461954615,0.6310000000000001
340.0,-0.4879414042776573,0.007202811568339786,0.0031007633380614325,0.00013674729317825375,0.6353333333333333
345.0,-0.47210035396695305,0.007199851178626082,0.0032320158096689616,0.0001367348931388386,0.6543333333333333
350.0,-0.4556588126242205,0.007196708585787576,0.0033407416842851922,0.00013673371396649372,0.6583333333333333
355.0,-0.43873235034639224,0.0071935597724577666,0.0034258331357260585,0.00013673289173719703,0.656
360.0,-0.42144106670206716,0.0071905723403628986,0.0034865868575043313,0.00013672317523690487,0.6749999999999999
365.0,-0.4039075637846681,0.007187888570947193,0.003522704705863411,0.00013669767517865712,0.6749999999999999
370.0,-0.386254932416906,0.007185612831139402,0.003534287815598447,0.00013665229280236774,0.6736666666666666
375.0,-0.3686047837594737,0.007183804187853748,0.003521824360281027,0.0001365858215468647,0.681
380.0,-0.3510753574463461,0.0071824744729336015,0.003486171236882517,0.00013649974796178162,0.676
385.0,-0.3337797357076102,0.007181591451156139,0.0034285300583478326,0.00013639780368672192,0.6716666666666667
390.0,-0.3168241907780187,0.007181086245528157,0.0033504179344384863,0.00013628533828844312,0.6796666666666668
395.0,-0.300306690263489,0.007180863814652249,0.003253633609260835,0.00013616859271500543,0.7026666666666667
400.0,-0.28431558209682883,0.0071808150823591925,0.003140219601582221,0.00013605395515194855,0.7133333333333333
405.0,-0.26892847731389136,0.007180829292607219,0.003012421059785615,0.00013594727552526718,0.747
410.0,-0.25421134518513977,0.007180805292893278,0.0028726420957986346,0.00013585330256003759,0.7596666666666666
415.0,-0.24021783131412544,0.007180660695856402,0.00272340040048763,0.00013577528951983812,0.7656666666666666
420.0,-0.2269888052383493,0.007180338200383448,0.0025672809660604173,0.00013571479344591517,0.7846666666666667
425.0,-0.21455213991454247,0.007179808720276863,0.0024068897484772825,0.0001356716702845195,0.8243333333333333
430.0,-0.20292272131997624,0.007179071328938656,0.0022448080945772705,0.0001356442473306988,0.86
435.0,-0.19210268233095817,0.007178150351265426,0.0020835487347298093,0.0001356296372798066,0.884
440.0,-0.18208185112725506,0.007177090187156191,0.0019255141028059128,0.00013562414658359833,0.9036666666666666
445.0,-0.17283840068929557,0.007175948620597419,0.0017729576919229446,0.00013562372565566557,0.9153333333333332
450.0,-0.16433968257467324,0.007174789444633426,0.0016279490878452693,0.00013562440964628316,0.9203333333333332
455.0,-0.15654322514181374,0.007173675219802582,0.0014923432434902142,0.0001356227051224153,0.9
460.0,-0.14939787378948033,0.007172660887704677,0.0013677544693283458,0.000135615888607906,0.8873333333333333
