threshold,time
0.01,10.999229083
0.016306557212597418,28.982426151
0.025456218845078444,26.480985217
0.03831734588479729,141.944636154
0.055919463824873915,208.259987437
0.07946699811650466,269.583266807
0.11035300962127326,492.753449607
0.1501729300634614,1018.728758075
0.20073829748235983,1932.895376371
0.2640904916845783,1961.502373739
0.3425144696963574,1999.352655539
0.4385525012158789,1562.610470516
0.5550179040655757,1757.622536645
0.6950087796444442,2164.171400024
0.8619217483803536,2062.548825143
1.0594656851823578,1721.873204353
1.2916754548930058,1761.844001391
1.5629256477406517,1529.36145044
1.877944314791764,1497.071310646
2.2418267034032446,1472.26397295
2.6600489926747284,428.880702418
3.138482028900896,201.479363557
3.683405061023798,214.436099775
4.301519476085144,233.009247827
4.999962534678634,243.865410828
5.786321106402254,243.816377616
6.66864540531059,310.522233608
7.655462725367154,300.480713875
8.75579117589667,379.646572353
9.979153417037393,414.641810635
11.335590395193446,390.02183134
12.835675078487085,556.64270631
14.490526192211036,702.305855901
16.311821954280823,869.798896737
18.311813810687028,803.404824123
20.503340170947673,1974.088883919
22.899840143560453,1711.079848199
25.515367271455084,1742.604614266
28.36460326744566,2585.061272447
31.462871749682858,2192.573157041
34.826151977106335,2663.079732985
38.47109258489701,2443.321265757
42.41502531992945,3585.879462539
46.675978776223914,2595.517868728
51.27269213039905,2725.528384504
56.224628877124005,2976.174819078
61.55199056457055,2323.609172266
67.27573052986578,2658.851199016
73.41756763454424,3216.307928755
80.00000000000003,3476.801075981
