tscr_a,tscr_b,tscr_r,tlr_a,tlr_b,tlr_r,Vinflux,Vdam,Vtag,Vrep,dil_rh,dil_rd,dil_rt,dil_rma,dil_rmb,dil_rmr,dil_rtca,dil_rtcb,dil_rtcr,deg_rd,deg_rma,deg_rmb,deg_rmr
1.0,0.0,0.0,31.0,26.0,1.0,61100.0,54342.0,45.0,794.0,7617.0,49194.0,850.0,0.0,0.0,0.0,171.0,27.0,2.0,3494.0,2.0,1.0,0.0
0.0,0.0,0.0,30.0,36.0,0.0,60996.0,54619.0,81.0,1227.0,7693.0,48946.0,892.0,0.0,0.0,0.0,31.0,37.0,1.0,3548.0,1.0,0.0,0.0
1.0,1.0,0.0,21.0,3.0,1.0,60849.0,56039.0,170.0,2791.0,7783.0,48915.0,888.0,0.0,0.0,0.0,22.0,4.0,2.0,3444.0,2.0,2.0,0.0
0.0,1.0,0.0,29.0,30.0,0.0,61420.0,54834.0,70.0,957.0,7581.0,49573.0,791.0,0.0,0.0,0.0,30.0,300.0,1.0,3553.0,1.0,1.0,0.0
3.0,1.0,0.0,10.0,17.0,1.0,61006.0,54191.0,36.0,740.0,7726.0,49429.0,459.0,0.0,0.0,0.0,436.0,26.0,2.0,3454.0,4.0,2.0,0.0
0.0,2.0,1.0,29.0,21.0,0.0,61244.0,53972.0,28.0,381.0,7680.0,49023.0,1085.0,0.0,0.0,0.0,30.0,22.0,1.0,3490.0,1.0,3.0,1.0
0.0,0.0,0.0,14.0,21.0,0.0,61134.0,54014.0,22.0,207.0,7404.0,49753.0,466.0,0.0,0.0,0.0,15.0,22.0,1.0,3557.0,1.0,1.0,0.0
1.0,1.0,0.0,40.0,30.0,0.0,61769.0,55952.0,130.0,1649.0,7823.0,48904.0,1588.0,0.0,0.0,0.0,46.0,384.0,1.0,3622.0,1.0,1.0,0.0
3.0,0.0,1.0,46.0,9.0,2.0,61333.0,53844.0,8.0,123.0,7626.0,49282.0,839.0,0.0,0.0,0.0,238.0,10.0,3.0,3593.0,4.0,1.0,1.0
8.0,4.0,0.0,11.0,43.0,1.0,61111.0,55428.0,9554.0,2023.0,8111.0,49820.0,143.0,1.0,1.0,0.0,381.0,489.0,2.0,3461.0,8.0,4.0,0.0
3.0,7.0,1.0,39.0,45.0,5.0,61459.0,54773.0,1295.0,1164.0,8396.0,48829.0,1647.0,0.0,0.0,0.0,526.0,483.0,6.0,3437.0,3.0,8.0,1.0
3.0,4.0,0.0,11.0,27.0,3.0,61414.0,56496.0,318.0,2654.0,8108.0,49901.0,281.0,0.0,0.0,0.0,516.0,1111.0,4.0,3641.0,4.0,4.0,0.0
4.0,4.0,1.0,45.0,11.0,6.0,61549.0,55543.0,627.0,1811.0,8427.0,49440.0,893.0,0.0,0.0,0.0,750.0,789.0,7.0,3491.0,4.0,5.0,1.0
3.0,0.0,0.0,10.0,24.0,0.0,61150.0,53881.0,24.0,234.0,7521.0,49653.0,551.0,0.0,0.0,0.0,115.0,25.0,1.0,3456.0,4.0,0.0,0.0
