species,ss_val,parameter,param_val
rm_a,0.0008735009426379193,ATP,3578.9473684210525
rtca,1.7342351146181998e-5,kin,0.022222222
rm_b,0.0008735009426379193,ω_ab,0.05623413251903491
rtcb,1.4366947763258617e-5,ω_r,0.010000000000000002
rm_r,0.044729189117567736,λ,0.014
rtcr,9.403498079216665e-5,kdam,1.0
rh,0.0481103921677418,NaN,NaN
rd,0.26095722904169927,NaN,NaN
rt,2.77192276995412,NaN,NaN
