species,ss_val,parameter,param_val
rm_a,0.04805905511498217,ATP,3578.9473684210525
rtca,0.052556877598624006,kin,0.022222222
rm_b,0.04805905511498217,ω_ab,0.05623413251903491
rtcb,0.04353976624591889,ω_r,0.010000000000000002
rm_r,0.044729189117567736,λ,0.014
rtcr,0.005179635164465187,kdam,1.0
rh,2.6500168017156063,NaN,NaN
rd,0.005155609971197738,NaN,NaN
rt,0.44408952369607824,NaN,NaN
