,RtcA,RtcB,RtcR,OmpA
0,7.086574698709721e-11,1.5468731976448076e-10,9.402791922114054e-12,0.0008888449134533252
1,4.42264840204969e-06,1.0085883686798291e-05,4.099583924376917e-07,0.0009355451963255013
2,1.2629387022319876e-05,2.248974523565747e-05,9.153148779607298e-07,0.0008888449134533252
3,3.8236177319345655e-06,1.0029774729630807e-05,3.3881054417968043e-07,0.0009326102360078444
4,3.2516989163051458e-06,1.3168267502049722e-05,3.171462679141108e-07,0.0007516807443474788
5,4.381459597005776e-06,1.3265673750338148e-05,3.474460373394828e-07,0.0009355434771324756
