,RtcA,RtcB,RtcR,OmpA
0,1.1699870948351501e-07,2.672690517638795e-07,3.393051824968868e-08,0.00036875100246709376
1,3.1974213107366675e-07,4.113106850317448e-07,6.464055726535861e-08,0.00011014012774804012
2,7.942227233636658e-07,1.843251803810039e-06,6.480541234255065e-08,0.00011968618865529877
3,1.3796484037608324e-07,7.958183850395921e-07,1.9521351326268547e-08,1.5293018959541874e-05
4,1.266006841998716e-07,4.5866829055328796e-07,2.44874186594685e-08,0.00017065510154146978
5,5.249078741819842e-07,1.0269929591680226e-06,5.789391783075835e-08,0.0002740207063733015
