,RtcA,RtcB,RtcR,OmpA
0,7.029657422727038e-17,4.071295049366332e-14,1.0845505847457552e-15,5.479484216574952e-10
1,1.5521952663357055e-16,5.757587967570831e-14,1.3891785461724109e-15,4.494391277539212e-10
2,2.99555672619699e-16,1.861866339038303e-13,2.2133199516210917e-15,4.1662942941965446e-10
3,1.0524095453548133e-16,7.10817775488152e-14,8.38236256723611e-16,5.47948421657495e-10
4,1.1768035646434148e-16,8.548309415291755e-14,8.15821917816285e-16,5.47948421657495e-10
5,4.260081604671573e-16,1.665972434611855e-13,2.1887717595695363e-15,7.777767077989095e-10
