time,wt,cm1,cm2,cm3,cm10,tet1,tet2,tet4
4,1.2784587048673436e-05,8.641928511403579e-05,9.234724385177459e-05,0.00011964823078650977,2.7046381059877867e-05,7.609676431129212e-05,7.335591841064368e-05,1.2002652016040488e-05
6,1.7328951270273413e-05,5.435212651804918e-05,7.434577969818494e-05,8.453135324621877e-05,1.4762578722863712e-05,9.42853383053339e-05,0.00011779432059465016,1.5195318347825985e-05
8,6.765097618416383e-06,4.737217482789744e-05,6.72108133460371e-05,5.730595626463243e-05,1.7810109035666384e-05,5.389441551239892e-05,6.963615829178716e-05,1.3045072417546826e-05
10,3.949784608647514e-06,3.103194060664007e-05,6.082353051451779e-05,5.451592364676816e-05,1.1288944677134094e-05,5.189187504278457e-05,5.498946208488791e-05,1.0283719937740582e-05
12,6.03378299386755e-06,3.971650957819941e-05,6.798595190751061e-05,6.792849687049817e-05,2.0617577070327727e-05,8.372850535285125e-05,8.927264788330428e-05,1.915518002436702e-05
24,6.23281170564561e-06,3.190412220780347e-05,5.2801355084970695e-05,4.2782727377640614e-05,1.065356771368251e-05,7.28000452189812e-06,3.7608227703965515e-05,2.8298064126980834e-06
