,RtcA,RtcB,RtcR,OmpA
0,0.0,2.149279016429085e-19,1.2462017822393034e-20,2.3481903479071836e-10
1,4.7456787730083323e-17,2.002033272216991e-14,2.0820297974771315e-16,3.649814245533191e-10
2,5.94128503381167e-17,3.391631702115258e-14,3.643197568777833e-16,6.105819032629865e-10
3,1.8679930492223733e-17,3.1396462069366796e-14,2.8583052494185415e-16,1.8267891784310348e-10
4,2.4967629385805833e-17,2.031031545050392e-14,1.1465557981675033e-16,4.341216752456741e-10
5,4.8447434622037274e-17,1.9757634071480406e-14,2.1250207575291789e-16,1.2384664347031776e-10
