Copies,RtcA,RtcB,RtcR
1,7.582613749584856e-9,7.809282630355363e-9,7.81036200597808e-9
10,7.582613749584855e-8,7.809282630355363e-8,7.81036200597808e-8
100,7.582613749584855e-7,7.809282630355364e-7,7.81036200597808e-7
1000,7.582613749584855e-6,7.809282630355364e-6,7.81036200597808e-6
10000,7.582613749584856e-5,7.809282630355363e-5,7.81036200597808e-5
