t,log(OD),log(OD) error,gr,gr error,od
0.0,-1.7413386684876997,0.008232600296537407,-0.007044414730046078,0.0011635553469707357,0.1786666666666666
5.0,-1.770247273986314,0.00539371567916097,-0.004543842682805943,0.0007655165898170697,0.1653333333333333
10.0,-1.787078319750016,0.0047454535131487875,-0.0022232056137606593,0.0004857771582473037,0.1656666666666666
15.0,-1.7928583436997059,0.004739617389769138,-0.00012915141758451654,0.0003393628779102433,0.1706666666666666
20.0,-1.7887858312740406,0.004633444604347133,0.0017160490833748598,0.0003020886789689052,0.1666666666666666
25.0,-1.7761139916346877,0.004415732280381227,0.003312139400302172,0.00030160771192371276,0.169
30.0,-1.7560523298478472,0.00423285176314949,0.004675833985378852,0.0002940898426661115,0.174
35.0,-1.7296984024890136,0.004154104882934102,0.005833962718396868,0.0002750736435910813,0.175
40.0,-1.6980059893827857,0.004144777612546446,0.006815970404182137,0.000254388759097151,0.184
45.0,-1.661789704257501,0.004140269301089902,0.007647053956637229,0.00024117313496300414,0.1926666666666666
50.0,-1.621759810452346,0.0041086273678366736,0.008343120605543097,0.00023692705565858687,0.1949999999999999
55.0,-1.5785757843688089,0.0040582328976893995,0.00890844047378081,0.00023680128196109138,0.2043333333333333
60.0,-1.5329039409758138,0.0040137503294158956,0.009336389056479155,0.00023567711395947752,0.215
65.0,-1.4854638617311622,0.0039906280723676305,0.00961310629425538,0.0002318246840514165,0.2276666666666666
70.0,-1.437050659018965,0.003985787190466862,0.009723338255786196,0.000226603238848166,0.2423333333333333
75.0,-1.3885249686753554,0.003985590902565612,0.009657279471314562,0.0002223323524008073,0.2496666666666666
80.0,-1.3407691841021574,0.0039790978504239466,0.009416988984421781,0.00022025733919872677,0.264
85.0,-1.2946156559631845,0.0039649006268412616,0.009020968783296834,0.0002198875185854595,0.27
90.0,-1.2507590282803562,0.003948937400992974,0.008505780745153513,0.0002198403608168259,0.2803333333333333
95.0,-1.2096692850139021,0.003937783706475484,0.007924097233699912,0.00021909121479079348,0.2873333333333333
100.0,-1.1715234845798506,0.003933481944471679,0.00733924354929083,0.00021756498587789433,0.3206666666666666
105.0,-1.1361721342054665,0.0039331716688602554,0.006816977221382747,0.00021588758967973297,0.3253333333333333
110.0,-1.1031509117888447,0.0039324378663059874,0.006415828345527674,0.00021472724630013595,0.34
115.0,-1.0717408213745898,0.003928868350572278,0.0061776799475427024,0.00021428383638805968,0.34
120.0,-1.041071208015012,0.003923187490824334,0.0061203192852725685,0.00021425334643263057,0.3513333333333333
125.0,-1.0102519549161286,0.003917835552420795,0.00623341753634743,0.00021417306851122112,0.3643333333333333
130.0,-0.9785151926298994,0.0039146953572772826,0.006478836727963455,0.00021378984696948926,0.377
135.0,-0.9453441696989557,0.0039138187518232715,0.006795416488946215,0.00021317918119638878,0.3899999999999999
140.0,-0.9105681737925835,0.003913818378041733,0.007107596342006084,0.00021260003162656383,0.3953333333333333
145.0,-0.8744074281603531,0.0039132124152236655,0.007336532272425811,0.00021225630765986714,0.4056666666666667
150.0,-0.8374598727571367,0.003911499157496144,0.007411903233185746,0.00021215786829252881,0.436
155.0,-0.8006312541991321,0.003909252892775988,0.007282464480974138,0.00021215770594259839,0.4516666666666666
160.0,-0.7650192737856898,0.003907419625693121,0.0069236182335378205,0.00021209469913221964,0.4683333333333333
165.0,-0.7317699895570158,0.0039065201191881066,0.006340797636479212,0.00021191115069522194,0.4826666666666666
170.0,-0.7019289080229072,0.003906360213865962,0.005568196384907909,0.00021166658111045913,0.5043333333333334
175.0,-0.6763095212412651,0.003906334659560333,0.004663182417538381,0.00021146386285388213,0.5133333333333333
180.0,-0.6553984797957355,0.0039059576210649367,0.0036974573892284424,0.00021136217778982636,0.5133333333333333
185.0,-0.6393099024843387,0.0039051781696542312,0.002746531173656863,0.0002113429256854559,0.5243333333333333
190.0,-0.6277928288587802,0.0039043040192249657,0.0018792854624054556,0.00021134074222638291,0.535
195.0,-0.6202871241454062,0.0039036838962274566,0.0011492779423885047,0.0002113012588166008,0.5396666666666666
200.0,-0.6160158090310617,0.00390343745126639,0.0005890291086998456,0.00021121700717402757,0.5343333333333333
205.0,-0.6140970250347415,0.003903417788982872,0.00020793239032668165,0.00021112070922134037,0.5343333333333333
210.0,-0.6136573093177446,0.0039033780361283866,-6.237856838620104e-06,0.00021105108462760952,0.543
215.0,-0.6139295314270896,0.0039031714504362833,-8.28452520054146e-05,0.0002110225466595796,0.5423333333333333
220.0,-0.614323119143183,0.0039028311045645843,-6.198621163500118e-05,0.0002110199188441863,0.5423333333333334
225.0,-0.6144600150577695,0.003902499875175322,1.260481227943755e-05,0.0002110160755583343,0.543
230.0,-0.6141759201991661,0.003902297441055369,0.00010016740336366015,0.00021099415141822818,0.5413333333333333
235.0,-0.6134916466519833,0.003902236208002996,0.00016813864683390412,0.00021095702315619916,0.5436666666666666
240.0,-0.6125629902161371,0.003902235822905229,0.00019547051889567957,0.0002109201913895721,0.5463333333333333
245.0,-0.6116190813874596,0.0039022022040480536,0.00017393545940186383,0.0002108971903567372,0.539
250.0,-0.6108987982408927,0.0039020980208912858,0.00010765801010381715,0.00021088992781797427,0.545
255.0,-0.6105930419570509,0.0039019551859042225,1.1322655748102761e-05,0.00021088983537563276,0.5456666666666666
260.0,-0.6107982161341674,0.003901833993073494,-9.243363739258603e-05,0.00021088642455856623,0.5396666666666666
265.0,-0.6114838507598925,0.0039017713666700286,-0.00017601122824600912,0.0002108752384332289,0.5373333333333333
270.0,-0.6124755171811351,0.003901758571638843,-0.00020994282836134248,0.00021085953395330538,0.5373333333333333
275.0,-0.6134532203694611,0.003901757670287871,-0.00016598260144579102,0.0002108459518157818,0.5419999999999999
280.0,-0.6139652087697822,0.003901735509129968,-2.0188215922756214e-05,0.0002108387561080984,0.5373333333333333
285.0,-0.6134572096715658,0.003901686240780161,0.00024399432155969292,0.00021083718680034523,0.549
290.0,-0.6113169483576968,0.0039016286337913843,0.0006327291508890776,0.00021083712181627673,0.545
295.0,-0.6069329686379348,0.0039015860968976673,0.0011391309389914006,0.00021083481295972712,0.5463333333333333
300.0,-0.5997650002556973,0.003901568095306468,0.001741393907297134,0.0002108294733614396,0.5543333333333333
305.0,-0.5894205228911389,0.0039015662026883682,0.0024022848683211695,0.00021082309676660483,0.5539999999999999
310.0,-0.5757292342394429,0.003901564205319833,0.003070575789946073,0.00021081829475337566,0.5613333333333334
315.0,-0.5588046034990768,0.00390155154319922,0.003684820904815478,0.0002108161999887484,0.569
320.0,-0.5390804558893549,0.003901529471054978,0.004179541500320752,0.00021081595150790398,0.5783333333333333
325.0,-0.517311349291667,0.003901507153944655,0.004493414383167749,0.0002108157635933634,0.5933333333333334
330.0,-0.49452879371316527,0.0039014929290184445,0.004578554710056595,0.00021081442184468243,0.608
335.0,-0.47195104522784703,0.003901488260290298,0.00440955212899008,0.00021081201132439273,0.6310000000000001
340.0,-0.4508516238938931,0.00390148816597868,0.00399067363031122,0.0002108095257537187,0.6353333333333333
345.0,-0.43239969440310233,0.0039014862727775775,0.003359674675487881,0.00021080790761629156,0.6543333333333333
350.0,-0.41749251748246863,0.0039014797063197156,0.0025870017023893743,0.00021080735501727917,0.6583333333333333
355.0,-0.40660479117521575,0.0039014702795616154,0.0017698016361434032,0.0002108073386508264,0.656
360.0,-0.39968058951413354,0.0039014619843820864,0.0010209913025064632,0.00021080714833780626,0.6749999999999999
365.0,-0.39609007678254216,0.0039014574927487165,0.0004545430972351938,0.00021080644412831704,0.6749999999999999
370.0,-0.3946653099105646,0.00390145645843217,0.00016894566368480524,0.00021080540780161317,0.6736666666666666
375.0,-0.3938181642952081,0.003901456434041281,0.0002313351834999089,0.00021080447832632303,0.681
380.0,-0.3917303997401689,0.0039014551136818793,0.0006649358199990602,0.00021080396288501352,0.676
385.0,-0.38659328377360325,0.003901451947299624,0.001442133175846183,0.00021080383712573868,0.6716666666666667
390.0,-0.37686428687943163,0.0039014480944505477,0.002484750969804994,0.000210803835826732,0.6796666666666668
395.0,-0.3615031281038483,0.003901445143273604,0.0036720119461680356,0.00021080369892518823,0.7026666666666667
400.0,-0.34015014685370915,0.0039014438227325263,0.004855413421256033,0.00021080335621316353,0.7133333333333333
405.0,-0.31321688477402176,0.0039014436505942535,0.005878551686740868,0.0002108029300907426,0.747
410.0,-0.2818710539185183,0.003901443553044605,0.006599006434975824,0.00021080259731415127,0.7596666666666666
415.0,-0.24791390405682456,0.0039014427727753825,0.00690892639942986,0.00021080244409768834,0.7656666666666666
420.0,-0.21356481776968828,0.003901441333042448,0.006751045454577775,0.00021080242202609677,0.7846666666666667
425.0,-0.18118290696233785,0.003901439823141749,0.006127510991766311,0.0002108024131341851,0.8243333333333333
430.0,-0.15296583748005865,0.003901438822534663,0.00510002619592545,0.00021080233072169973,0.86
435.0,-0.13067016799097964,0.003901438469560571,0.0037812084476046837,0.00021080217370870305,0.884
440.0,-0.11539434407411342,0.003901438456022267,0.0023185043569587394,0.0002108020057480743,0.9036666666666666
445.0,-0.10745559319601306,0.003901438350504595,0.0008732226937417931,0.0002108018921276109,0.9153333333333332
450.0,-0.10637698112519445,0.0039014379364515723,-0.0004019694485192793,0.00021080185055328843,0.9203333333333332
455.0,-0.11098339074764318,0.0039014373139028753,-0.0013835354239184194,0.000210801848495804,0.9
460.0,-0.11958819287481859,0.003901436746485521,-0.001992396960194473,0.00021080183801512462,0.8873333333333333
465.0,-0.13023880822464573,0.0039014364255535714,-0.0022018957641267087,0.00021080179372416941,0.8613333333333334
470.0,-0.1409814750190428,0.0039014363436016128,-0.0020374812092663758,0.00021080172538219993,0.8356666666666667
475.0,-0.15010454092916703,0.003901436343327716,-0.0015686311080659737,0.0002108016618913062,0.8433333333333334
480.0,-0.1563254261497189,0.003901436265228092,-0.0008947856732195308,0.00021080162515318602,0.8563333333333333
485.0,-0.15889776111727105,0.003901436062100054,-0.00012798069441509463,0.00021080161528200098,0.8626666666666667
490.0,-0.1576298375972227,0.003901435804836538,0.0006247456100049176,0.0002108016152984272,0.8683333333333333
495.0,-0.15282067293373736,0.003901435600708932,0.0012762744518224345,0.00021080160725839406,0.8673333333333333
500.0,-0.14513295633363654,0.003901435504617492,0.001769440701781616,0.0002108015853189603,0.8756666666666666
505.0,-0.1354307525631402,0.0039014354898021793,0.002080995101295613,0.00021080155690431874,0.8803333333333333
510.0,-0.12461284521681293,0.0039014354854056063,0.002219479881338915,0.0002108015339287426,0.8809999999999999
515.0,-0.11346989179279987,0.003901435437630225,0.0022180834295202623,0.0002108015228317271,0.8883333333333333
520.0,-0.10258609714727918,0.0039014353439647217,0.002124333700961295,0.0002108015209953022,0.8933333333333332
525.0,-0.09229567686963769,0.0039014352421961472,0.00198886942770396,0.0002108015206468479,0.909
530.0,-0.08269318806967085,0.003901435172391654,0.0018554537885521194,0.00021080151563457054,0.9136666666666668
535.0,-0.07368702556796514,0.0039014351464034948,0.0017539195171899502,0.000210801505437492,0.925
540.0,-0.06507873048076362,0.003901435145229652,0.0016969846618195006,0.00021080149412957012,0.937
545.0,-0.05664818923566983,0.0039014351396521223,0.0016810253275788278,0.0002108014862377219,0.947
550.0,-0.04822638205237695,0.0039014351136639628,0.0016901125860735444,0.00021080148324503252,0.955
555.0,-0.039742316859822324,0.0039014350727680047,0.0017020617410684613,0.00021080148314727885,0.964
560.0,-0.03123780693775302,0.0039014350345612124,0.0016949920341271796,0.00021080148267233297,0.9713333333333334
565.0,-0.022851198747773083,0.0039014350126921724,0.001652971646781437,0.00021080147992677615,0.9883333333333332
570.0,-0.014777495286331543,0.0039014350074098813,0.0015696765168523585,0.00021080147543354699,0.9833333333333334
575.0,-0.007216402052328874,0.0039014350082493565,0.0014495208116427072,0.00021080147116690951,0.99
580.0,-0.0003210808097460216,0.003901435003923925,0.0013062953937785782,0.0002108014687424513,0.998
585.0,0.005841100488046536,0.0039014349909476304,0.0011598553248159948,0.0002108014682692091,1.0
590.0,0.011308164347989091,0.0039014349743253097,0.0010317341975227823,0.0002108014685612486,1.0146666666666666
595.0,0.01622059225274164,0.0039014349618398947,0.0009406830123327437,0.00021080146826634819,1.0246666666666666
600.0,0.020797823744224786,0.0039014349574966775,0.0008990360373170581,0.00021080146689667168,1.0086666666666668
605.0,0.02530005194504703,0.0039014349589301884,0.000910541520492969,0.00021080146502900114,1.020333333333333
610.0,0.02998349554582269,0.0039014349603601417,0.0009699364587839043,0.0002108014636745936,1.0316666666666665
615.0,0.03505779048343438,0.0039014349577492316,0.0010641768132456653,0.00021080146342395718,1.036
620.0,0.04065290704058322,0.0039014349518408913,0.0011749329877195347,0.00021080146402799836,1.043
625.0,0.04680053106620097,0.003901434946946324,0.0012817761010967543,0.00021080146467286403,1.0583333333333331
630.0,0.05343179953598104,0.003901434946953438,0.0013654327344136408,0.00021080146467289618,1.056
635.0,0.060390314349794805,0.0039014349518444484,0.0014105622005181062,0.00021080146402806265,1.064
640.0,0.06745701250293301,0.0039014349577527886,0.0014076748045285525,0.0002108014634241179,1.069
645.0,0.07438206734037456,0.0039014349603459135,0.0013540136906270844,0.0002108014636745936,1.0676666666666668
650.0,0.0809186109087845,0.0039014349589337454,0.001253418944024809,0.00021080146502874396,1.086
655.0,0.08685356349531714,0.0039014349574895634,0.0011153441108637807,0.00021080146689676812,1.0853333333333337
660.0,0.0920319549519566,0.003901434961850566,0.0009532832034506167,0.00021080146826631604,1.107
665.0,0.09637249692284167,0.0039014349743181956,0.0007828900798739213,0.00021080146856128075,1.098666666666667
670.0,0.09987352597011467,0.0039014349909618586,0.0006200460773214678,0.00021080146826911266,1.1066666666666665
675.0,0.10260958929193542,0.003901435003931039,0.00047907803525482073,0.00021080146874238702,1.096666666666667
680.0,0.10471980548871862,0.0039014350082493565,0.0003712695363362606,0.00021080147116700595,1.11
685.0,0.10638971798658758,0.0039014350074098813,0.00030375912338553857,0.00021080147543345055,1.1186666666666667
690.0,0.10782873871841758,0.003901435012681501,0.00027888638079798245,0.00021080147992671186,1.111
695.0,0.10924552965801126,0.0039014350345647694,0.0002940263386216335,0.00021080148267220439,1.126
700.0,0.11082382822043257,0.003901435072775119,0.0003419344837470861,0.00021080148314734314,1.1213333333333333
705.0,0.11270127145969866,0.0039014351136781914,0.0004115973264716688,0.00021080148324525752,1.119
710.0,0.11495364661988461,0.0039014351396521223,0.0004895396445107059,0.00021080148623768975,1.1163333333333332
715.0,0.11758660708751023,0.0039014351452367666,0.0005614797473177946,0.00021080149412960227,1.1193333333333333
720.0,0.12053618348252826,0.003901435146424837,0.0006141578158345706,0.00021080150543745986,1.1276666666666666
725.0,0.12367839570525874,0.003901435172412996,0.0006371058987532652,0.00021080151563473127,1.13
730.0,0.12684702913314183,0.0039014352421890327,0.0006241001441190941,0.00021080152064713718,1.1246666666666665
735.0,0.1298573599223758,0.0039014353439682787,0.0005740515533379578,0.00021080152099520576,1.1566666666666665
740.0,0.13253253987856795,0.0039014354376124393,0.0004911574798810506,0.0002108015228318235,1.1306666666666667
745.0,0.13472872335586317,0.003901435485416278,0.00038424677967488496,0.000210801533928614,1.1586666666666667
750.0,0.13635502139294786,0.003901435489795065,0.00026538929683514456,0.00021080155690431874,1.1496666666666666
755.0,0.13738507323038718,0.003901435504617492,0.0001479785416062529,0.00021080158531870314,1.135
760.0,0.13785835957091663,0.003901435600716046,4.460507305087402e-05,0.00021080160725839406,1.139
765.0,0.13787112968815407,0.003901435804840095,-3.4908784498688394e-05,0.00021080161529845934,1.1583333333333334
770.0,0.13755865377902765,0.0039014360621107253,-8.496018663917138e-05,0.00021080161528216172,1.1526666666666667
775.0,0.1370720794830831,0.003901436265235206,-0.00010483978452346943,0.00021080162515312172,1.156
