Time (hours),"0nM, WT","250nM, WT","0nM, nA","250nM, nA","0nM, nA_A","250nM, nA_A","0nM, nB","250nM, nB","0nM, nB_B","250nM, nB_B","0nM, nB_Bmut","250nM, nB_Bmut","0nM, nR","250nM, nR","0nM, nR_R","250nM, nR_R","0nM, WT std","250nM, WT std","0nM, nA std","250nM, nA std","0nM, nA_A std","250nM, nA_A std","0nM, nB std","250nM, nB std","0nM, nB_B std","250nM, nB_B std","0nM, nB_Bmut std","250nM, nB_Bmut std","0nM, nR std","250nM, nR std","0nM, nR_R std","250nM, nR_R std"
0.0,0.06,0.06233333333333333,0.06366666666666666,0.05766666666666667,0.06,0.05766666666666667,0.06666666666666667,0.061,0.06566666666666666,0.059666666666666666,0.058666666666666666,0.055,0.056499999999999995,0.061,0.061,0.064,0.0043588989435406735,0.0023094010767585054,0.0020816659994661348,0.0005773502691896263,0.005196152422706633,0.0005773502691896263,0.001527525231651948,0.002999999999999999,0.0020816659994661348,0.0037859388972001817,0.00404145188432738,0.0030000000000000027,0.006363961030678929,0.0014142135623730963,0.0014142135623730963,0.004242640687119289
0.3333333333333333,0.068,0.07100000000000001,0.057999999999999996,0.057666666666666665,0.057666666666666665,0.057666666666666665,0.067,0.06166666666666667,0.065,0.057333333333333326,0.064,0.055,0.054,0.0625,0.063,0.068,0.003999999999999997,0.005196152422706628,0.0019999999999999983,0.0011547005383792486,0.004163331998932265,0.0011547005383792486,0.002645751311064593,0.0020816659994661343,0.0010000000000000009,0.004509249752822895,0.016822603841260726,0.004582575694955837,0.007071067811865472,0.0021213203435596446,0.0014142135623730963,0.0
0.6666666666666666,0.09366666666666668,0.106,0.057999999999999996,0.05566666666666667,0.059666666666666666,0.05566666666666667,0.069,0.064,0.068,0.06233333333333333,0.057999999999999996,0.056666666666666664,0.058,0.07100000000000001,0.075,0.0875,0.04273562136360407,0.01587450786638754,0.0019999999999999983,0.0025166114784235852,0.005859465277082317,0.0025166114784235852,0.002645751311064585,0.005291502622129186,0.003999999999999997,0.004509249752822895,0.0043588989435406735,0.0055075705472861025,0.0,0.008485281374238568,0.004242640687119289,0.016263455967290598
1.0,0.11066666666666668,0.128,0.06066666666666667,0.06066666666666667,0.06333333333333334,0.06066666666666667,0.07533333333333332,0.076,0.07566666666666666,0.07766666666666666,0.06133333333333333,0.06133333333333333,0.0655,0.075,0.0775,0.0815,0.060912505557835436,0.02264950330581225,0.0025166114784235818,0.0015275252316519481,0.004725815626252609,0.0015275252316519481,0.001527525231651948,0.0040000000000000036,0.0025166114784235852,0.013316656236958784,0.0030550504633038923,0.0058594652770823175,0.004949747468305837,0.0,0.004949747468305837,0.0021213203435596446
1.3333333333333333,0.10566666666666664,0.11766666666666666,0.07666666666666666,0.07866666666666666,0.077,0.07866666666666666,0.08800000000000001,0.08800000000000001,0.09233333333333334,0.11033333333333332,0.07133333333333333,0.071,0.08499999999999999,0.0825,0.0895,0.0875,0.031501322723551356,0.004725815626252605,0.002309401076758505,0.0025166114784235852,0.002645751311064593,0.0025166114784235852,0.002645751311064593,0.002645751311064593,0.001527525231651948,0.016072751268321594,0.002081665999466127,0.004358898943540669,0.007071067811865472,0.0007071067811865482,0.004949747468305837,0.0007071067811865482
1.6666666666666667,0.13633333333333333,0.14400000000000002,0.09800000000000002,0.103,0.10166666666666667,0.103,0.11233333333333334,0.118,0.11833333333333333,0.16766666666666666,0.085,0.08666666666666667,0.093,0.0935,0.10500000000000001,0.1005,0.052548390397169485,0.014422205101855955,0.002645751311064593,0.0010000000000000009,0.002309401076758497,0.0010000000000000009,0.0030550504633038962,0.006082762530298217,0.001527525231651942,0.014468356276140466,0.0036055512754639848,0.007371114795831992,0.0014142135623730963,0.0007071067811865482,0.011313708498984762,0.0007071067811865482
2.0,0.21833333333333335,0.27599999999999997,0.14300000000000002,0.151,0.15133333333333332,0.151,0.15033333333333332,0.16866666666666666,0.17866666666666667,0.19066666666666668,0.12266666666666666,0.11366666666666665,0.099,0.08349999999999999,0.10800000000000001,0.0975,0.1080061726631091,0.11416216536138409,0.0059999999999999915,0.006244997998398403,0.003055050463303896,0.006244997998398403,0.001527525231651948,0.01115048578911848,0.0020816659994661348,0.013650396819628858,0.00901849950564579,0.005686240703077324,0.021213203435596427,0.006363961030678923,0.03252691193458118,0.004949747468305837
2.3333333333333335,0.3306666666666666,0.38633333333333336,0.21533333333333335,0.254,0.24433333333333332,0.254,0.21366666666666667,0.24266666666666667,0.2763333333333334,0.3066666666666667,0.161,0.17566666666666667,0.23099999999999998,0.189,0.262,0.20350000000000001,0.2064517699932198,0.06615386106141752,0.0020816659994661348,0.02821347195933178,0.0037859388972001857,0.02821347195933178,0.006658328118479399,0.025106440076867402,0.0020816659994661348,0.02657693235370352,0.006557438524302006,0.025106440076867406,0.02828427124746191,0.005656854249492385,0.10182337649086286,0.0007071067811865285
2.6666666666666665,0.5173333333333333,0.6326666666666667,0.31266666666666665,0.32833333333333337,0.3499999999999999,0.32833333333333337,0.289,0.3376666666666666,0.37966666666666665,0.38533333333333336,0.254,0.23666666666666666,0.353,0.2735,0.3235,0.2875,0.35500187792930527,0.22844328253055143,0.010214368964029717,0.017785762095938816,0.011135528725660029,0.017785762095938816,0.015524174696260011,0.03478984526170436,0.007234178138070241,0.009712534856222319,0.017776388834631177,0.025482019804821864,0.042426406871192854,0.010606601717798222,0.07141778489984128,0.0021213203435596446
3.0,0.6576666666666667,0.759,0.4426666666666667,0.509,0.4626666666666666,0.509,0.37966666666666665,0.405,0.48500000000000004,0.6526666666666667,0.306,0.312,0.403,0.3825,0.38349999999999995,0.4075,0.38667859177013325,0.30340072511449273,0.05589573627150226,0.04464302857109944,0.0165025250593154,0.04464302857109944,0.006806859285554052,0.018520259177452123,0.02211334438749598,0.09833276835995888,0.011269427669584655,0.018330302779823376,0.01555634918610402,0.02333452377915609,0.0417193000900063,0.0007071067811865482
3.3333333333333335,0.8643333333333333,0.955,0.513,0.586,0.5830000000000001,0.586,0.48699999999999993,0.516,0.621,0.622,0.4086666666666667,0.4163333333333334,0.488,0.6745,0.5195000000000001,0.49350000000000005,0.43625833325374236,0.3218369152226015,0.005196152422706636,0.06392964883369842,0.016462077633154343,0.06392964883369842,0.008717797887081356,0.03671511950137167,0.013856406460551031,0.02553429066960743,0.012220201853215554,0.029263173671584784,0.04101219330881976,0.09970205614730321,0.0035355339059327407,0.06434671708797583
3.6666666666666665,1.0923333333333334,1.1176666666666668,0.6333333333333333,0.7050000000000001,0.6763333333333333,0.7050000000000001,0.6086666666666666,0.6046666666666666,0.7636666666666666,0.7616666666666667,0.49833333333333335,0.5133333333333333,0.6040000000000001,0.451,0.58,0.4855,0.4350681938884217,0.3470004803070643,0.046800997140374445,0.0727530068107154,0.025423086620891083,0.0727530068107154,0.03043572462310262,0.019347695814575287,0.017616280348965098,0.013012814197295436,0.01594783161854093,0.007571877794400371,0.07353910524340093,0.012727922061357866,0.008485281374238578,0.013435028842544414
3.95,0.9406666666666667,1.0293333333333334,0.6373333333333333,0.723,0.7286666666666667,0.723,0.6463333333333333,0.842,0.8010000000000002,1.0183333333333333,0.5683333333333334,0.6103333333333333,0.76,0.6074999999999999,0.7455,0.611,0.4213078842525183,0.2190121762216278,0.007505553499465142,0.02816025568065747,0.010785793124908967,0.02816025568065747,0.0050332229568471705,0.20872709455171362,0.012124355652982153,0.12493331554606775,0.01975685535031655,0.001527525231651948,0.0834386001800126,0.051618795026618015,0.020506096654409896,0.02262741699796954
4.283333333333333,1.2659999999999998,0.8756666666666666,0.6943333333333334,0.9039999999999999,0.786,0.9039999999999999,0.738,0.7616666666666667,0.852,0.9123333333333333,0.6356666666666667,0.7426666666666666,0.8145,0.6845,0.8055,0.63,0.45484502855368225,0.03453018003621376,0.017559422921421187,0.3612852058969478,0.011357816691600558,0.3612852058969478,0.008660254037844395,0.021385353243127275,0.022338307903688695,0.05325723737984663,0.006806859285554052,0.07850053078376817,0.03606244584051388,0.12091525958289966,0.021920310216782913,0.005656854249492385
4.616666666666666,1.524,0.9496666666666668,0.7813333333333334,0.9536666666666668,0.8796666666666667,0.9536666666666668,0.9820000000000001,0.9043333333333333,0.9456666666666668,0.9856666666666666,0.714,0.7143333333333333,1.1085,0.696,0.92,0.6839999999999999,0.2316117440891113,0.07975169799655261,0.04202776859807492,0.2776154414533408,0.02720906711619005,0.2776154414533408,0.2405265058158871,0.13579518891821366,0.022501851775650204,0.010066445913694343,0.021166010488516743,0.01703917055884276,0.17465537495307723,0.04808326112068519,0.007071067811865481,0.016970562748477077
4.95,1.5919999999999999,0.9783333333333334,0.9066666666666666,0.8180000000000001,0.9483333333333333,0.8180000000000001,1.2233333333333334,0.8743333333333334,1.021,1.0903333333333334,0.8029999999999999,0.7596666666666666,1.2215,0.764,1.0205,0.7875000000000001,0.20347727145801817,0.01700980109623078,0.05424327915358115,0.02515949125081821,0.010263202878893716,0.02515949125081821,0.5074784067655818,0.057830211250983095,0.028583211855912963,0.04135617648348713,0.047623523599162616,0.015011106998930284,0.24253762594698577,0.06363961030678934,0.0586898628384835,0.017677669529663705
5.283333333333333,1.7133333333333332,1.0543333333333333,0.9663333333333334,0.9096666666666667,0.9753333333333334,0.9096666666666667,1.1223333333333334,0.941,1.074,1.1066666666666667,0.8416666666666667,0.8343333333333334,1.3115,0.77,1.0995,0.7545,0.20764472864326064,0.08310435207215883,0.051733290377988975,0.011590225767142484,0.012055427546683426,0.011590225767142484,0.31236090237629516,0.08407139822793477,0.01743559577416271,0.03855299383100272,0.01955334583474997,0.040857475856118826,0.19162593770155445,0.021213203435596444,0.010606601717798144,0.01626345596729061
5.616666666666666,1.708,1.081,1.0073333333333332,0.9533333333333333,1.0033333333333332,0.9533333333333333,0.9796666666666667,0.969,1.1023333333333334,1.0913333333333333,1.098,0.874,1.362,0.8015,1.3345,0.789,0.16388715629969297,0.10147413463538381,0.08764321612842232,0.013203534880225585,0.02055075018906443,0.013203534880225585,0.015885003409925155,0.07466592261534041,0.03134219732777726,0.011676186592091398,0.27925436433474055,0.01967231557290602,0.1810193359837562,0.060104076400856514,0.15202795795510762,0.02262741699796954
5.95,1.8486666666666667,1.1823333333333335,1.088,1.0673333333333332,1.0759999999999998,1.0673333333333332,1.076,1.0693333333333335,1.1396666666666666,1.1386666666666667,0.9899999999999999,0.8916666666666666,1.518,0.8859999999999999,1.3165,0.9249999999999999,0.20269270666043546,0.10660362720533162,0.06869497798238246,0.06921223398600378,0.04899999999999998,0.06921223398600378,0.05499090833947013,0.06446963109351052,0.02309401076758505,0.008504900548115368,0.0303150127824482,0.0050332229568471705,0.1767766952966369,0.19657568516986015,0.014849242404917433,0.15273506473629425
6.283333333333333,1.7523333333333333,1.1846666666666668,1.1213333333333335,1.0999999999999999,1.07,1.0999999999999999,1.0703333333333334,1.0986666666666667,1.136,1.1396666666666666,1.0150000000000001,0.9269999999999999,1.4529999999999998,0.9430000000000001,1.553,1.0110000000000001,0.31865707795894516,0.10675829397912526,0.1004207813818103,0.1320454467219525,0.011532562594670826,0.1320454467219525,0.06047589051294193,0.08889506922958854,0.02107130750570539,0.023459184413217125,0.08863972021616502,0.03726929030716842,0.14424978336205568,0.13152186130069787,0.2432447327281724,0.09758073580374364
6.616666666666666,1.899,1.3186666666666669,1.3813333333333333,1.1033333333333333,1.1526666666666667,1.1033333333333333,1.137,1.152,1.2336666666666667,1.184,1.0503333333333333,0.9483333333333334,1.6044999999999998,1.026,1.4420000000000002,0.8955,0.17500857121866914,0.19351055096126746,0.11208181535527224,0.13521217893863452,0.13215647291500077,0.13521217893863452,0.09124143795447329,0.04107310555582571,0.09847503913852142,0.016093476939431087,0.05918051481132394,0.016041612554021246,0.05303300858899103,0.25314422766478406,0.1725340546095176,0.03464823227814086
6.95,1.717666666666667,1.2566666666666666,1.0876666666666666,0.9346666666666668,1.07,0.9346666666666668,1.1316666666666666,1.0450000000000002,1.1726666666666665,1.1896666666666669,1.0410000000000001,0.891,1.4685,0.9675,1.4815,0.8965,0.32598210584836296,0.06575966342168525,0.0909633625880955,0.008962886439832445,0.024556058315617385,0.008962886439832445,0.06961561127601572,0.02910326442171048,0.02967041174863156,0.005773502691896263,0.05237365750069406,0.02260530911091465,0.09121677477306463,0.1831406563273158,0.25950818869546294,0.08131727983645295
7.283333333333333,1.8446666666666667,1.2853333333333332,1.252,1.022,1.1776666666666669,1.022,1.1703333333333334,1.2283333333333333,1.209666666666667,1.234,1.1336666666666666,1.0296666666666667,1.593,1.079,1.5975000000000001,1.0225,0.22541147560258185,0.12122018533781134,0.16891121928397768,0.11650321883965271,0.10382838404469813,0.11650321883965271,0.11250037036976077,0.11514049389043514,0.015044378795195754,0.02426932219902315,0.10617124532251343,0.0695149863938226,0.03676955262170051,0.18243354954612925,0.20435385976291218,0.05020458146424492
7.616666666666666,2.0343333333333335,1.3923333333333332,1.5583333333333336,1.0476666666666665,1.2289999999999999,1.0476666666666665,1.248,1.2726666666666666,1.4203333333333334,1.3230000000000002,1.202,1.2206666666666666,1.7109999999999999,1.146,1.617,1.0594999999999999,0.1286247772916764,0.20024068850594118,0.1765398916203738,0.1875428839847925,0.12882934448331254,0.1875428839847925,0.1663520363566373,0.05804595880277403,0.23737171974212373,0.08087644898238303,0.11153026495081957,0.013051181300301336,0.018384776310850254,0.0933380951166242,0.20647518010647176,0.04030508652763332
