Time (hpi),WT,HPX,WT_std,HPX_std
3,276.2077778,292.8811111,59.1530339,40.97741953
6,290.7255556,807.2744444,29.55052585,192.1210217
9,282.9733333,1271.068889,17.38188497,209.4256495
12,271.5055556,1689.073333,29.8137343,242.0333725
24,566.9991667,2084.729167,79.56186689,561.1175775
48,947.6044444,1897.873333,121.1907868,393.8594184
