Time (hpi),WT,HPX,WT_std,HPX_std
3,0.431,0.143777778,0.074722821,0.049994444
6,0.753222222,0.567555556,0.311573738,0.045519532
9,1.361,0.623777778,0.099951238,0.106507564
12,1.361444444,0.688818182,0.05015753,0.093704026
24,1.331416667,0.698888889,0.191333815,0.105610433
48,1.295222222,0.793888889,0.087826217,0.108674335
