t,atp
0.0,12.572234694314005
7.456498456478217e-5,13.481315436793317
0.00010161583119389478,13.81670803307998
0.00016061388363375204,14.54837358878363
0.0002366998905751748,15.489523939481174
0.000391065351626829,17.390141643019916
0.0007430908282817766,21.68420123394704
0.0011864015777164182,27.023016978850915
0.0018148743105988556,34.48424672228331
0.002616112142586415,43.85191937163384
0.003660318733271627,55.87478948857058
0.004975392619869981,70.794989824866
0.006630327457120408,89.31755959011343
0.008676863453113581,111.94574551557282
0.011181443899314868,139.3459487079843
0.014206537688574248,172.14096176340817
0.017837352569407612,211.19956864958348
0.022187755853776487,257.6920213254395
0.027419623333890787,313.2891439542772
0.0337575229842913,380.30971296362645
0.0415082582606874,461.9189282388089
0.05105521993559486,562.0618708531051
0.06282395884663644,685.1003506403705
0.07736133972304936,836.6387184777021
0.09560011143295108,1026.260476363625
0.11901695162779645,1269.1229048292537
0.14980204597345034,1587.6494245349747
0.1907671868391845,2010.4888105506507
0.24510391600200698,2569.909510941298
0.31639065080761253,3301.724399934744
0.41019171408357613,4261.396389748916
0.5421110110494394,5605.227944916051
0.6740303080153027,6942.60860131269
0.8059496049811661,8273.777831404492
0.9406502092993838,9626.720859612622
1.0792174782772055,11011.86216679025
1.2233862188190305,12445.716008683507
1.3746239725452605,13941.621670313743
1.534570876839419,15514.042214868681
1.7048438690403067,17176.482824550356
1.8871583822070128,18942.50509348949
2.083295175141803,20825.14925649107
2.2951429027496335,22837.017228043023
2.5247052977779605,24989.909398191125
2.7741042695374536,27294.303857245435
3.0455920544885995,29758.7733316152
3.3415726714073735,32389.29776959402
3.6646555050491925,35188.60721545491
4.017774740521407,38155.705625840885
4.404400843135811,41285.515178244066
20.0,16199.022752322828
40.0,17.65584445452097
60.0,17.00017058375234
80.0,17.145523709219844
100.0,18.45885724274371
120.0,20.42854361158609
139.99999999999997,24.874287741388894
160.0,34.22388165965541
180.0,60.11477095598418
199.99999999999997,7.218674826747401e-12
220.0,1.497749220314928e-20
237.0,1.497749220314928e-20
257.0,2.5955486858413518e-23
277.0,2.5955486858413518e-23
297.0,3.547225033253145e-26
317.0,3.547225033253145e-26
337.0,3.547225033253145e-26
357.0,3.60816772806318e-29
377.0,3.60816772806318e-29
397.0,3.60816772806318e-29
417.0,2.956906615436006e-32
437.0,2.956906615436006e-32
457.0,2.956906615436006e-32
477.0,2.956906615436006e-32
497.0,2.956906615436006e-32
517.0,1.938438164789736e-35
537.0,1.938438164789736e-35
556.9999999999999,1.938438164789736e-35
577.0,1.938438164789736e-35
597.0,1.938438164789736e-35
616.9999999999999,1.0416907491298642e-38
637.0,1.0416907491298642e-38
657.0,1.0416907491298642e-38
676.9999999999999,1.0416907491298642e-38
697.0,1.0416907491298642e-38
717.0,1.0416907491298642e-38
736.9999999999999,4.5664697339311596e-42
757.0,4.5664697339311596e-42
777.0,4.5664697339311596e-42
796.9999999999999,4.5664697339311596e-42
817.0,4.5664697339311596e-42
837.0,4.5664697339311596e-42
856.9999999999999,4.5664697339311596e-42
877.0,4.5664697339311596e-42
897.0,1.6283844166022503e-45
916.9999999999999,1.6283844166022503e-45
937.0,1.6283844166022503e-45
957.0,1.6283844166022503e-45
977.0000000000001,1.6283844166022503e-45
997.0,1.6283844166022503e-45
1017.0,1.6283844166022503e-45
1037.0,1.6283844166022503e-45
1057.0,1.6283844166022503e-45
1077.0,1.6283844166022503e-45
1097.0,4.616781663295314e-49
1117.0,4.616781663295314e-49
1137.0,4.616781663295314e-49
1157.0,4.616781663295314e-49
1177.0,4.616781663295314e-49
1197.0,4.616781663295314e-49
1217.0,4.616781663295314e-49
1237.0,4.616781663295314e-49
1257.0,4.616781663295314e-49
1277.0,4.616781663295314e-49
1297.0,4.616781663295314e-49
1307.0,4.616781663295314e-49
6307.0,9.985747233940554e-110
11307.0,1.1535063248235129e-160
16307.0,2.73774287829432e-215
21307.0,2.4392975381929087e-282
26307.0,0.0
31307.0,0.0
36307.0,0.0
41307.0,0.0
46307.0,0.0
51307.0,0.0
56307.0,0.0
61307.0,0.0
66307.0,0.0
71307.0,0.0
76307.0,0.0
81307.0,0.0
86307.0,0.0
91307.0,0.0
96307.0,0.0
101307.0,0.0
106307.0,0.0
111307.0,0.0
116307.0,0.0
121307.0,0.0
126307.0,0.0
131307.0,0.0
136307.0,0.0
141307.0,0.0
146307.0,0.0
151307.0,0.0
156307.0,0.0
161307.0,0.0
166307.0,0.0
171307.0,0.0
176307.0,0.0
181307.0,0.0
186307.0,0.0
191307.0,0.0
196307.0,0.0
201307.0,0.0
206307.0,0.0
211307.0,0.0
216307.0,0.0
221307.0,0.0
226307.0,0.0
231307.0,0.0
236307.0,0.0
241307.0,0.0
246307.0,0.0
251307.0,0.0
256307.0,0.0
261307.0,0.0
266307.0,0.0
271307.0,0.0
276307.0,0.0
281307.0,0.0
286307.0,0.0
291307.0,0.0
296307.0,0.0
301307.0,0.0
306307.0,0.0
311307.0,0.0
316307.0,0.0
321307.0,0.0
326307.0,0.0
331307.0,0.0
336307.0,0.0
341307.0,0.0
346307.0,0.0
351307.0,0.0
356307.0,0.0
361307.0,0.0
366307.0,0.0
371307.0,0.0
376307.0,0.0
381307.0,0.0
386307.0,0.0
391307.0,0.0
396307.0,0.0
401307.0,0.0
406307.0,0.0
411307.0,0.0
416307.0,0.0
421307.0,0.0
426307.0,0.0
431307.0,0.0
436307.0,0.0
441307.0,0.0
446307.0,0.0
451307.0,0.0
456307.0,0.0
461307.0,0.0
466307.0,0.0
471307.0,0.0
476307.0,0.0
481307.0,0.0
486307.0,0.0
491307.0,0.0
496307.0,0.0
501307.0,0.0
506307.0,0.0
511307.0,0.0
516307.0,0.0
521307.0,0.0
526307.0,0.0
531307.0,0.0
536307.0,0.0
541307.0,0.0
546307.0,0.0
551307.0,0.0
556307.0,0.0
561307.0,0.0
566307.0,0.0
571307.0,0.0
576307.0,0.0
