wt,cm1,cm2,cm3,cm10,tet1,tet2,tet4
5.782017176277176e-07,1.3089171323713015e-05,1.588848758027083e-05,3.68192989007078e-06,8.346351870143157e-07,1.6528780356747494e-05,2.554549828251886e-06,3.758646377920123e-07
8.645275144910209e-07,2.2000176764271776e-06,4.053186201484821e-06,1.665014121909746e-06,3.965805414813179e-07,4.0985260179764635e-06,5.060948652559538e-07,6.518607573973749e-07
4.619380227555461e-07,9.167492325604438e-07,3.559863460148331e-06,1.183050887549343e-06,1.592824278225814e-06,4.646748225566229e-06,9.702528864502792e-07,3.863117319641091e-07
9.427746468670637e-07,2.9523665181470155e-06,3.3317366293094817e-06,3.6353752470769606e-06,2.1920107989891044e-06,4.2795422591418115e-06,2.287959532799877e-06,9.990810141311686e-07
1.4012019478960854e-07,9.090556479138512e-06,3.5269056067255492e-06,3.166982058319342e-06,3.224321397010574e-07,1.790598233973443e-05,3.285778521647722e-06,3.095874661099369e-07
3.69061080237179e-07,3.7016648794408e-07,1.2110042255365544e-06,6.353412920498455e-07,6.671104010466306e-07,2.5386827179682354e-07,2.2047900693314126e-06,2.3040403830645746e-07
