atp,lam,kin,kdam1,kdam2,bs
500.0,0.0017959183673469388,0.0020408163265306124,0.24650930073262967,0.07869774242902577,bp
500.0,0.0017959183673469388,0.004081632653061225,0.9585253257114675,0.16136913583992565,bp
500.0,0.0025918367346938775,0.0020408163265306124,0.05911332877108343,0.04228622116825908,bp
500.0,0.0025918367346938775,0.004081632653061225,0.22484913176239749,0.08873422045988359,bp
500.0,0.0025918367346938775,0.006122448979591836,0.4948394653664316,0.13364964946441396,bp
500.0,0.0025918367346938775,0.00816326530612245,0.8642596403896258,0.17723626485819716,bp
500.0,0.0033877551020408164,0.004081632653061225,0.07964114445322545,0.05610230473299488,bp
500.0,0.0033877551020408164,0.006122448979591836,0.17270045915232574,0.08676319597725794,bp
500.0,0.0033877551020408164,0.00816326530612245,0.3007685446579749,0.11662625511780597,bp
500.0,0.0033877551020408164,0.01020408163265306,0.46257582221590293,0.14579241592583825,bp
500.0,0.0033877551020408164,0.012244897959183673,0.6569557190646654,0.17431167285371585,bp
500.0,0.0033877551020408164,0.014285714285714285,0.8828121751544646,0.20223729127114407,bp
500.0,0.004183673469387755,0.004081632653061225,0.037456057487251795,0.03665683053534447,bp
500.0,0.004183673469387755,0.006122448979591836,0.07708154514210844,0.059686664936721125,bp
500.0,0.004183673469387755,0.00816326530612245,0.1322862871550023,0.08187579671624892,bp
500.0,0.004183673469387755,0.01020408163265306,0.20234798916865585,0.10355893207967135,bp
500.0,0.004183673469387755,0.012244897959183673,0.2868018322431573,0.12481088344287221,bp
500.0,0.004183673469387755,0.014285714285714285,0.3852333441748049,0.1456664361827376,bp
500.0,0.004183673469387755,0.0163265306122449,0.4972542611799621,0.16614926786203232,bp
500.0,0.004183673469387755,0.018367346938775512,0.622496156852258,0.18627738101474242,bp
500.0,0.004183673469387755,0.02040816326530612,0.7606077722790215,0.20606625198193973,bp
500.0,0.004183673469387755,0.022448979591836733,0.9112534446766243,0.22552968196920486,bp
500.0,0.004979591836734694,0.006122448979591836,0.041937418718532855,0.04149149123230564,bp
500.0,0.004979591836734694,0.00816326530612245,0.06898115062123027,0.05922432055510114,bp
500.0,0.004979591836734694,0.01020408163265306,0.10383286352199549,0.07628500170689786,bp
500.0,0.004979591836734694,0.012244897959183673,0.14604576095354743,0.09296894684355324,bp
500.0,0.004979591836734694,0.014285714285714285,0.19539251248351014,0.10934837677775239,bp
500.0,0.004979591836734694,0.0163265306122449,0.25168758023235016,0.12545552855036707,bp
500.0,0.004979591836734694,0.018367346938775512,0.31476228771548054,0.14130958397266166,bp
500.0,0.004979591836734694,0.02040816326530612,0.3844580330300281,0.15692413693039586,bp
500.0,0.004979591836734694,0.022448979591836733,0.46062375668856687,0.17230995315876943,bp
500.0,0.004979591836734694,0.024489795918367346,0.5431147476649713,0.18747615664899245,bp
500.0,0.004979591836734694,0.026530612244897958,0.6317919582871501,0.2024308117743428,bp
500.0,0.004979591836734694,0.02857142857142857,0.7265215429134223,0.21718123480857204,bp
500.0,0.004979591836734694,0.030612244897959183,0.8271745081460712,0.23173417835633464,bp
500.0,0.004979591836734694,0.0326530612244898,0.9336264254860026,0.24609594290057465,bp
500.0,0.005775510204081633,0.01020408163265306,0.0607636528928788,0.056892788249741366,bp
500.0,0.005775510204081633,0.012244897959183673,0.08389132843068314,0.0706212286335926,bp
500.0,0.005775510204081633,0.014285714285714285,0.11112382804835579,0.08401448050120858,bp
500.0,0.005775510204081633,0.0163265306122449,0.14230211608009347,0.09716236595863867,bp
500.0,0.005775510204081633,0.018367346938775512,0.17731972091278556,0.11010173115178963,bp
500.0,0.005775510204081633,0.02040816326530612,0.21608784430853442,0.12285254526740223,bp
500.0,0.005775510204081633,0.022448979591836733,0.25852615264411855,0.135427668475822,bp
500.0,0.005775510204081633,0.024489795918367346,0.3045594587690831,0.1478364302564581,bp
500.0,0.005775510204081633,0.026530612244897958,0.3541162743691095,0.16008618898335597,bp
500.0,0.005775510204081633,0.02857142857142857,0.40712807955558333,0.17218309761166894,bp
500.0,0.005775510204081633,0.030612244897959183,0.46352890583103634,0.184132513521581,bp
500.0,0.005775510204081633,0.0326530612244898,0.5232550704349246,0.19593923435815336,bp
500.0,0.005775510204081633,0.03469387755102041,0.5862449901587168,0.20760764163040638,bp
500.0,0.005775510204081633,0.036734693877551024,0.6524390400644512,0.21914179263448558,bp
500.0,0.005775510204081633,0.03877551020408163,0.7217794393602949,0.23054548199589214,bp
500.0,0.005775510204081633,0.04081632653061224,0.7942101547935516,0.24182228439916906,bp
500.0,0.005775510204081633,0.04285714285714286,0.8696768160559194,0.25297558576143014,bp
500.0,0.005775510204081633,0.044897959183673466,0.9481266399067015,0.26400860610016386,bp
500.0,0.006571428571428572,0.012244897959183673,0.05394500991034568,0.05349431084264029,bp
500.0,0.006571428571428572,0.014285714285714285,0.0697898065184246,0.06502864848698753,bp
500.0,0.006571428571428572,0.0163265306122449,0.0882289810556436,0.07616350356938559,bp
500.0,0.006571428571428572,0.018367346938775512,0.10906445422661129,0.08706360694313404,bp
500.0,0.006571428571428572,0.02040816326530612,0.13220846858962756,0.09778247336619415,bp
500.0,0.006571428571428572,0.022448979591836733,0.15760081958685365,0.10834593851534931,bp
500.0,0.006571428571428572,0.024489795918367346,0.18519231383331586,0.11876910771462748,bp
500.0,0.006571428571428572,0.026530612244897958,0.21493934497504402,0.12906200260912837,bp
500.0,0.006571428571428572,0.02857142857142857,0.24680166453971247,0.13923191292989914,bp
500.0,0.006571428571428572,0.030612244897959183,0.28074132370948074,0.1492845206326095,bp
