atp,lam,kin,kdam1,kdam2,bs
500.0,0.005105263157894737,0.010526315789473684,0.5396203885259635,0.19352914144061972,bp
500.0,0.007157894736842105,0.010526315789473684,0.144621017320527,0.10807574860093498,bp
500.0,0.007157894736842105,0.021052631578947368,0.540218590037178,0.22496943505939038,bp
500.0,0.009210526315789473,0.021052631578947368,0.2024762400637519,0.14543752926892137,bp
500.0,0.009210526315789473,0.031578947368421054,0.43399735211092977,0.2230414905480472,bp
500.0,0.009210526315789473,0.042105263157894736,0.7481515132395645,0.2972531918357066,bp
500.0,0.011263157894736841,0.021052631578947368,0.09818447009756771,0.09630176209550372,bp
500.0,0.011263157894736841,0.031578947368421054,0.20005205074970978,0.15567038425743213,bp
500.0,0.011263157894736841,0.042105263157894736,0.34035912519160866,0.2119351825238378,bp
500.0,0.011263157894736841,0.05263157894736842,0.5163909600849363,0.2661087277397098,bp
500.0,0.011263157894736841,0.06315789473684211,0.7262445669240497,0.3184784583949323,bp
500.0,0.011263157894736841,0.07368421052631578,0.9682445969334768,0.36921441073757194,bp
500.0,0.01331578947368421,0.031578947368421054,0.11065820184166937,0.1093403736096341,bp
500.0,0.01331578947368421,0.042105263157894736,0.18086034579204127,0.15487876235798448,bp
500.0,0.01331578947368421,0.05263157894736842,0.27041629850974536,0.19812784222753685,bp
500.0,0.01331578947368421,0.06315789473684211,0.37783990269344536,0.23990182036764535,bp
500.0,0.01331578947368421,0.07368421052631578,0.5022447359738945,0.28043668193759574,bp
500.0,0.01331578947368421,0.08421052631578947,0.6428863580613127,0.3198593577976478,bp
500.0,0.01331578947368421,0.09473684210526316,0.7990938676392526,0.3582582516250056,bp
500.0,0.01331578947368421,0.10526315789473684,0.9702489333323718,0.3957033292333128,bp
500.0,0.015368421052631578,0.05263157894736842,0.15990523161926057,0.14892499175430002,bp
500.0,0.015368421052631578,0.06315789473684211,0.219638279674563,0.18366832693638346,bp
500.0,0.015368421052631578,0.07368421052631578,0.28937267892617735,0.21721220986638134,bp
500.0,0.015368421052631578,0.08421052631578947,0.3685615587615434,0.2498106112053339,bp
500.0,0.015368421052631578,0.09473684210526316,0.45680236061498614,0.2815832311032308,bp
500.0,0.015368421052631578,0.10526315789473684,0.5537496427358415,0.3126048409668219,bp
500.0,0.015368421052631578,0.11578947368421053,0.6590908272340088,0.34293005497692713,bp
500.0,0.015368421052631578,0.12631578947368421,0.7725367510062024,0.37260260275090284,bp
500.0,0.015368421052631578,0.1368421052631579,0.8938170315367044,0.4016594845824575,bp
500.0,0.017421052631578948,0.06315789473684211,0.1418236983815414,0.1400830286188173,bp
500.0,0.017421052631578948,0.07368421052631578,0.1828503815804365,0.16916412831196403,bp
500.0,0.017421052631578948,0.08421052631578947,0.23017625780899825,0.19702056480531754,bp
500.0,0.017421052631578948,0.09473684210526316,0.28325709780853037,0.22405410434011794,bp
500.0,0.017421052631578948,0.10526315789473684,0.3418051667010923,0.25041252062556696,bp
500.0,0.017421052631578948,0.11578947368421053,0.4056048640958065,0.2761755917342137,bp
500.0,0.017421052631578948,0.12631578947368421,0.47447299576418117,0.3013955331788632,bp
500.0,0.017421052631578948,0.1368421052631579,0.5482451749545082,0.3261108433981068,bp
500.0,0.017421052631578948,0.14736842105263157,0.6267699455417356,0.350352193032438,bp
500.0,0.017421052631578948,0.15789473684210525,0.7099057947596481,0.3741453025956079,bp
