atp,lam,kin,kdam1,kdam2,bs
500.0,0.001,0.005263157894736842,0.8831135015969763,0.11054848812328474,bp
500.0,0.0030526315789473684,0.010526315789473684,0.044506852781944065,0.03708084658913554,bp
500.0,0.0030526315789473684,0.015789473684210527,0.09312681262757426,0.05712214656839697,bp
500.0,0.0030526315789473684,0.021052631578947368,0.15831832089526993,0.07592094026687919,bp
500.0,0.0030526315789473684,0.02631578947368421,0.23860845571446324,0.0937028265160918,bp
500.0,0.0030526315789473684,0.031578947368421054,0.3327679568924908,0.11060069803815224,bp
500.0,0.0030526315789473684,0.03684210526315789,0.4397313718638775,0.12671563903967323,bp
500.0,0.0030526315789473684,0.042105263157894736,0.5585640280366669,0.14213019684395092,bp
500.0,0.0030526315789473684,0.04736842105263158,0.688439710704338,0.15691375081254622,bp
500.0,0.0030526315789473684,0.05263157894736842,0.8286235872958702,0.17112553355044288,bp
500.0,0.0030526315789473684,0.05789473684210526,0.9784585974374143,0.18481665062064992,bp
500.0,0.005105263157894737,0.02631578947368421,0.037137850287892196,0.03711287908766814,bp
500.0,0.005105263157894737,0.031578947368421054,0.04956177603829062,0.04645068739070243,bp
500.0,0.005105263157894737,0.03684210526315789,0.0642463130446187,0.05517998835845599,bp
500.0,0.005105263157894737,0.042105263157894736,0.08088178559346337,0.06353871365094997,bp
500.0,0.005105263157894737,0.04736842105263158,0.0993288965573805,0.07159762414804784,bp
500.0,0.005105263157894737,0.05263157894736842,0.11948457976589068,0.07939507526806289,bp
500.0,0.005105263157894737,0.05789473684210526,0.14126201085118475,0.08695709595429855,bp
500.0,0.005105263157894737,0.06315789473684211,0.1645843040189385,0.09430356497220303,bp
500.0,0.005105263157894737,0.06842105263157895,0.18938179266459032,0.1014507166953963,bp
500.0,0.005105263157894737,0.07368421052631578,0.21559057673659976,0.10841235117351915,bp
500.0,0.005105263157894737,0.07894736842105263,0.24315161370715227,0.11520049820264583,bp
500.0,0.005105263157894737,0.08421052631578947,0.2720100804182305,0.12182582027878558,bp
500.0,0.005105263157894737,0.08947368421052632,0.30211488775213313,0.12829787770550055,bp
500.0,0.005105263157894737,0.09473684210526316,0.3334182910246316,0.13462531475351627,bp
500.0,0.005105263157894737,0.1,0.3658755657077912,0.14081599736575,bp
500.0,0.007157894736842105,0.06315789473684211,0.050501661434088414,0.05033774571989511,bp
500.0,0.007157894736842105,0.06842105263157895,0.056965724791739177,0.05545603070415648,bp
500.0,0.007157894736842105,0.07368421052631578,0.0639831232337532,0.060339259595376185,bp
500.0,0.007157894736842105,0.07894736842105263,0.0714720213829934,0.06506104181336153,bp
500.0,0.007157894736842105,0.08421052631578947,0.0793941733023365,0.0696515913598696,bp
500.0,0.007157894736842105,0.08947368421052632,0.08772437778282195,0.07412830498012392,bp
500.0,0.007157894736842105,0.09473684210526316,0.09644338200741684,0.0785028763844228,bp
500.0,0.007157894736842105,0.1,0.10553524665495545,0.08278393904629655,bp
763.1578947368421,0.0030526315789473684,0.005263157894736842,0.02737145926079685,0.02673932036744569,bp
763.1578947368421,0.0030526315789473684,0.010526315789473684,0.09622140757012272,0.059330882258543854,bp
763.1578947368421,0.0030526315789473684,0.015789473684210527,0.20750960825559095,0.08996700330923767,bp
763.1578947368421,0.0030526315789473684,0.021052631578947368,0.3579546003975179,0.11919402089714404,bp
763.1578947368421,0.0030526315789473684,0.02631578947368421,0.5449030110718308,0.14718220300301094,bp
763.1578947368421,0.0030526315789473684,0.031578947368421054,0.7660012176620498,0.17405345712409034,bp
763.1578947368421,0.005105263157894737,0.021052631578947368,0.05171997430769438,0.048612368884170774,bp
763.1578947368421,0.005105263157894737,0.02631578947368421,0.07637274970776853,0.06291453484079383,bp
763.1578947368421,0.005105263157894737,0.031578947368421054,0.1060888366152883,0.07666107463056353,bp
763.1578947368421,0.005105263157894737,0.03684210526315789,0.1405682333770419,0.08998254097001727,bp
763.1578947368421,0.005105263157894737,0.042105263157894736,0.17959247253760327,0.10293465100750396,bp
763.1578947368421,0.005105263157894737,0.04736842105263158,0.22297287307448443,0.11555149190632934,bp
763.1578947368421,0.005105263157894737,0.05263157894736842,0.2705382076924649,0.12785805802683983,bp
763.1578947368421,0.005105263157894737,0.05789473684210526,0.3221301465702433,0.13987455005311786,bp
763.1578947368421,0.005105263157894737,0.06315789473684211,0.37760100299500043,0.15161820159096437,bp
763.1578947368421,0.005105263157894737,0.06842105263157895,0.4368123487478555,0.16310418314088151,bp
763.1578947368421,0.005105263157894737,0.07368421052631578,0.499634026371959,0.17434610670126077,bp
763.1578947368421,0.005105263157894737,0.07894736842105263,0.5659433742559964,0.18535633687747902,bp
763.1578947368421,0.005105263157894737,0.08421052631578947,0.6356245827372796,0.19614619920039686,bp
763.1578947368421,0.005105263157894737,0.08947368421052632,0.7085681403563302,0.20672612939571697,bp
763.1578947368421,0.005105263157894737,0.09473684210526316,0.7846703475735289,0.21710578629289123,bp
763.1578947368421,0.005105263157894737,0.1,0.8638328839996315,0.227294140937445,bp
763.1578947368421,0.007157894736842105,0.042105263157894736,0.05384513770374331,0.05370853425038735,bp
763.1578947368421,0.007157894736842105,0.04736842105263158,0.06488839537483897,0.06229048880780049,bp
763.1578947368421,0.007157894736842105,0.05263157894736842,0.07734065174007237,0.07047697377607175,bp
763.1578947368421,0.007157894736842105,0.05789473684210526,0.09102716665199302,0.07841835801056656,bp
763.1578947368421,0.007157894736842105,0.06315789473684211,0.10587291319946711,0.08616558879482966,bp
763.1578947368421,0.007157894736842105,0.06842105263157895,0.12182775290023734,0.09374525116054142,bp
763.1578947368421,0.007157894736842105,0.07368421052631578,0.13885201313991852,0.10117411391581317,bp
763.1578947368421,0.007157894736842105,0.07894736842105263,0.1569116097488679,0.10846406776451727,bp
763.1578947368421,0.007157894736842105,0.08421052631578947,0.1759759546635123,0.11562424181909027,bp
