kdam,rm_a,rtca,rm_b,rtcb,rm_r,rtcr,rh,rd,rt
0.6359851,NaN,69369.2492332311,240.0320042672356,80.01066808907855,240.03200426723566,80.01066808907854,240.0320042672356,720.0960128017068,80.01066808907858
0.6499347050505051,NaN,NaN,2800.3733831177487,240.0320042672356,2720.36271502867,240.0320042672356,2000.2667022269638,5840.778770502735,160.02133617815707
0.6638843101010101,NaN,NaN,4400.58674489932,480.0640085344713,4320.576076810242,320.0426723563142,3040.405387384985,7921.056140818774,240.03200426723566
0.6778339151515151,NaN,NaN,6000.800106680892,640.0853447126284,5760.768102413655,400.0533404453928,4000.5334044539277,9361.248166422189,320.04267235631414
0.6917835202020202,NaN,NaN,7521.002800373382,880.1173489798641,7120.949459927991,480.0640085344712,4880.650753433792,10481.39751966929,400.0533404453926
0.7057331252525253,NaN,NaN,9041.205494065876,1120.1493532470997,8561.141485531403,640.0853447126284,5760.7681024136555,11441.525536738229,480.0640085344713
0.7196827303030303,NaN,NaN,10561.408187758367,1360.181357514335,9921.322843045738,720.0960128017069,6720.896119482597,12321.642885718094,560.0746766235499
0.7336323353535353,NaN,NaN,12241.632217629014,1680.2240298706492,11361.514868649154,800.1066808907855,7601.013468462462,13041.738898519805,560.0746766235499
0.7475819404040404,NaN,NaN,13841.84557941059,2000.2667022269638,12881.717562341642,880.1173489798641,8561.141485531405,13761.834911321512,640.0853447126283
0.7615315454545455,NaN,NaN,15602.080277370316,2320.309374583278,14401.920256034136,1040.1386851580212,9441.258834511267,14401.920256034136,720.096012801707
0.7754811505050505,NaN,NaN,17442.325643419124,2720.36271502867,15922.122949726629,1120.1493532470997,10401.386851580211,14961.994932657686,800.1066808907852
0.7894307555555555,NaN,NaN,19282.57100946793,3120.416055474063,17442.32564341912,1200.1600213361783,11361.514868649152,15442.058941192157,800.1066808907852
0.8033803606060606,NaN,NaN,21202.827043605816,3600.480064008534,19122.549673289774,1360.1813575143353,12321.642885718096,16002.13361781571,880.1173489798639
0.8173299656565657,NaN,NaN,23283.104413921857,4080.544072543006,20722.763035071344,1440.1920256034136,13361.781570876119,16482.19762635018,960.1280170689427
0.8312795707070707,NaN,NaN,25363.3817842379,4640.618749166555,22402.987064941997,1520.2026936924924,14321.909587945058,16962.261634884653,1040.1386851580212
0.8452291757575757,NaN,NaN,27523.669822643024,5200.693425790106,24163.221762901718,1680.2240298706497,15362.048273103079,17362.314975330042,1040.138685158021
0.8591787808080809,NaN,NaN,29843.979197226305,5840.778770502733,25923.456460861446,1760.2346979597282,16482.19762635018,17762.368315775435,1120.1493532470993
0.8731283858585859,NaN,NaN,32244.299239898653,6480.864115215361,27763.701826910255,1920.2560341378853,17522.3363115082,18242.432324309906,1200.160021336178
0.8870779909090909,NaN,NaN,34724.62995066009,7280.970796106147,29683.957861048133,2080.2773703160424,18642.485664755302,18642.485664755302,1280.1706894252568
0.9010275959595959,NaN,NaN,37284.971329510605,8081.077476996933,31604.213895186025,2160.2880384051205,19762.635018002402,18962.528337111613,1360.1813575143349
0.914977201010101,NaN,NaN,39925.32337645019,8881.184157887717,33524.46992932391,2320.309374583278,20882.7843712495,19362.581677557013,1440.1920256034139
0.9289268060606061,NaN,NaN,42725.69675956793,9841.312174956662,35524.73663155087,2480.3307107614346,22082.94439258568,19762.6350180024,1520.2026936924924
0.9428764111111111,NaN,NaN,45606.08081077477,10801.4401920256,37605.01400186691,2640.3520469395926,23283.104413921857,20162.68835844779,1600.2133617815716
0.9568260161616161,NaN,NaN,48646.486198159764,11841.578877183623,39685.29137218295,2720.36271502867,24483.264435258036,20482.73103080411,1680.224029870649
0.9707756212121212,NaN,NaN,51766.90225363383,13041.738898519801,41845.57941058808,2880.3840512068277,25763.435124683292,20882.784371249505,1760.2346979597278
0.9847252262626263,NaN,NaN,55047.33964528603,14241.898919855981,44085.87811708228,3040.4053873849844,27043.60581410855,21282.837711694894,1840.2453660488068
0.9986748313131313,NaN,NaN,58487.79837311643,15522.069609281234,46326.176823576476,3200.426723563142,28323.776503533805,21602.88038405121,1920.2560341378849
1.0126244363636363,NaN,NaN,62008.267769035854,16962.26163488465,48646.48619815976,3360.4480597412985,29603.947192959065,22002.9337244966,2000.2667022269638
1.0265740414141413,NaN,NaN,65768.76916922256,18402.45366048806,50966.79557274304,3520.4693959194556,30964.128550473397,22322.976396852915,2080.2773703160424
1.0405236464646466,NaN,NaN,69609.28123749833,20002.667022269638,53367.11561541539,3680.4907320976126,32324.309907987736,22723.029737298308,2160.288038405121
