gr,atp,time
1.486618540218154e-6,12.572234694314005,0.0
1.567119309994757e-6,13.253878483425433,7.456817831750453e-5
1.596826549648649e-6,13.505451186780467,0.00010162011078843472
1.6616269564099517e-6,14.054264014059067,0.00016061980708112852
1.744963096971843e-6,14.760181921023065,0.00023670897378871223
1.913183901734115e-6,16.18556593759506,0.0003910825048437352
2.302465564731265e-6,19.486427947616484,0.000752162035125034
2.838430087633094e-6,24.03697409922372,0.0012574616197853078
3.557875626589331e-6,30.15712498668154,0.0019491546373628338
4.482790065491978e-6,38.046343266863055,0.0028582701033960014
5.650826851735937e-6,48.044254752055124,0.004033790884437718
7.097543315459088e-6,60.47985531458557,0.005525277406637798
8.867380578374587e-6,75.76323521873476,0.007393200120612516
1.100265197643346e-5,94.28482949221856,0.00969635730254051
1.3548524414728727e-5,116.44922018919503,0.012495295383689653
1.655873906612487e-5,142.7187366019693,0.015857685184333947
2.0109990950678706e-5,173.7409715306196,0.01987521483508735
2.4310787094187582e-5,210.43605911927972,0.024676113817595144
2.9311783625513363e-5,254.09870390774287,0.03043980168789507
3.5317429797572384e-5,306.5075828288887,0.03741262633470139
4.259329836696578e-5,369.99058259867724,0.04591774120011416
5.1450122565915943e-5,447.28187455669587,0.05633668769536976
6.223729308752356e-5,541.4603066643592,0.06910108480908399
7.545249004965108e-5,656.9049901572904,0.08482292255701294
9.191292228625699e-5,800.7964254371759,0.10450295276553992
0.00011283897846716895,983.8576389270321,0.12963868997526992
0.00013990999004987402,1220.8495864305953,0.16230010326177532
0.0001753171531660808,1531.031482313032,0.20520269131564456
0.000222091505336373,1941.0135098064331,0.2621179117168304
0.00028438930885653607,2487.231118352534,0.3382475797434163
0.0003673861258174279,3215.0754474616842,0.44015418913188264
0.0004845193584895997,4242.9663120530395,0.5848857442923212
0.0006007117358753457,5264.54031327322,0.7296172994527598
0.0007160421654418041,6281.411341206763,0.8745326287594171
0.000833749942771863,7322.309151726227,1.023740194771283
0.0009539062983358796,8387.16938015315,1.1773012024739293
0.0010781249884626116,9488.665007940373,1.3371549349634075
0.001207576934551399,10634.600786474692,1.504605841200257
0.001343854299251427,11835.380524550299,1.681416360570855
0.0014885596233598557,13100.049140418098,1.8692519994522483
0.0016435449512537657,14437.957832062171,2.069952284833948
0.001810857510719783,15857.712889485001,2.285412356123708
0.001992845553849814,17367.394285210776,2.5176642377618985
0.0021921923323765403,18974.013432011474,2.768859422492726
0.0024119910531929015,20683.179032259937,3.0413018280603286
0.0026557827660210033,22498.326501523457,3.3374365584435615
0.0029276332848977423,24420.113758244504,3.6598955529036616
0.003232206580674207,26445.58415893743,4.011550130133188
0.0035749011885957745,28567.440825852187,4.395651397649341
0.003962063770228984,30773.198004093792,4.816070623914525
0.004401309776697237,33043.89777228177,5.2776771515440855
0.004901939478917547,35351.618326526834,5.786874424955659
0.0054754264013589776,37654.692633454455,6.352379517684845
0.006135930532744309,39888.84329832728,6.986478691397601
0.0069008035346717535,41950.72050491932,7.7074412111747135
0.007790731356345031,43663.744769463774,8.544811362938528
0.008830581354246676,44694.125887168346,9.556142237555036
0.01006443748110664,44187.57884451256,10.917910760024922
0.010955052271029475,41222.91974515299,12.355802526421352
0.011123175373049462,35748.94649941223,13.805049803789835
0.01013342848604932,27655.722790836713,15.30619267161339
0.007528071714557529,17490.756571981263,16.807335539436945
0.0041779948714926905,8611.512273830967,17.96282057893656
0.0033562611211208713,6758.9222199561655,18.193917586836484
0.0012947085766501197,2476.080887719065,18.722087493832337
0.001014411300177049,1927.6247495162315,18.789848938708825
0.00037747501436290355,707.2173315147322,18.943419672873244
0.0001973912655751547,368.3609980425068,18.988799614246506
0.00010119202893441015,188.42559410739446,19.015540224140832
4.818623176855853e-5,89.60336598166516,19.03382896062003
2.192943216038891e-5,40.74026968194925,19.04919131515231
1.5140549417881962e-5,28.116321078684884,19.059954659573503
1.3175451817481157e-5,24.461091237970304,19.070718003994696
1.2678038318095302e-5,23.532936454611402,19.082670408173147
1.2567668176978038e-5,23.322933367573526,19.097423517619692
1.2541247395585857e-5,23.267232883722688,19.117178165643207
1.2521530239563888e-5,23.22061957669768,19.14732360740752
1.2494330949564073e-5,23.15565956792857,19.191611209162186
1.2462858259735544e-5,23.080602932226235,19.24344583660482
1.242283140931741e-5,22.985336996046136,19.310052110205554
1.2373535229608428e-5,22.868288714969612,19.393044686683602
1.231016778833342e-5,22.718277077305636,19.501240478035598
1.2225837570999425e-5,22.519441770140276,19.64789295903108
1.2110968904910645e-5,22.250169311808005,19.852722438072146
1.1984680003351598e-5,21.956420409457557,20.085036819532696
1.1848444580162846e-5,21.642630780704245,20.344631691404643
1.1708819702515366e-5,21.325071792482465,20.621292145104288
1.1569891519202302e-5,21.014370150756484,20.90861389418204
1.1435990847825593e-5,20.721952995572654,21.198979243227633
1.130918601253252e-5,20.454901282449683,21.489344592273227
1.1190557874930563e-5,20.219640781766962,21.77970994131882
1.108167569229636e-5,20.02519704583137,22.070075290364414
1.0979896952199913e-5,19.873867904025065,22.37276867947231
1.0873000246137331e-5,19.757916800465086,22.73439218162449
1.0796686006855703e-5,19.702096946588217,23.021188937848688
1.0725257543957015e-5,19.66560365142911,23.307985694072887
1.0657110968216564e-5,19.640658374140436,23.594782450297085
1.0591287048523218e-5,19.622632627617328,23.881579206521284
1.0577870008735223e-5,19.619483679281384,23.941057343954004
1.0551544745714252e-5,19.61372268957283,24.058673323497647
1.051999854536248e-5,19.607427229274776,24.2011309916467
1.048211754656682e-5,19.600567622101938,24.374247877438187
